right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_back_ang_x,right_back_ang_y,right_back_ang_z,right_back_acc_x,right_back_acc_y,right_back_acc_z,left_back_ang_x,left_back_ang_y,left_back_ang_z,left_back_acc_x,left_back_acc_y,left_back_acc_z,,,,Label
-0.5615,-0.828,0.0446,1.0686,-1.2186,4.1401,1.4919,1.3027,8.469,0.6658,-10.0616,-2.2351,-1.678,7.3634,-1.1123,1.7057,-1.1386,3.3649,-0.2394,7.4846,-1.2452,0.0533,0.817222,0,1698375679.7862,0
-0.5598,-0.5816,0.0535,1.0788,-1.5368,4.2138,0.8909,1.184,8.5112,0.5904,-9.5207,-4.2001,-2.3503,7.5868,-1.1485,1.7773,-0.6014,3.204,-0.0705,7.6663,-1.2661,0.0908,0.858031,0,1698375679.7965,1
-0.5556,-0.3303,0.0643,1.0786,-2.0005,4.2745,0.3039,0.9303,8.7872,0.47,-9.5761,-5.1954,-2.9373,8.2182,-0.9284,1.6627,-0.1739,3.252,0.0513,7.8157,-1.3011,0.1245,0.889729,0,1698375679.8072,2
-0.5468,-0.0337,0.076,1.0692,-2.3256,4.3132,-0.2551,0.6651,9.0881,0.0443,-9.118,-7.0294,-3.7886,8.5509,-0.8755,1.4024,0.1513,3.2195,0.0573,7.9507,-1.3386,0.0981,0.914349,0,1698375679.8162,3
-0.534,0.2812,0.0872,1.1093,-2.3114,4.258,-0.7881,0.3616,8.8587,-0.1551,-7.7754,-9.0923,-4.2223,8.4728,-1.1536,1.4739,-0.0358,3.1038,0.1292,8.1408,-1.4643,0.1227,0.933468,0,1698375679.8261,4
-0.5173,0.631,0.0985,1.1406,-2.1061,4.2304,-1.301,0.2306,8.453,-0.0069,-6.3865,-7.3838,-3.171,8.8564,-1.5061,1.8178,-0.5953,2.7456,0.2405,8.3596,-1.5154,0.1506,0.948256,0,1698375679.8359,5
-0.4969,1.0438,0.1107,1.1678,-1.5751,4.1937,-1.7088,0.126,7.821,0.4273,-5.0232,-3.1143,-1.4247,9.1888,-1.8235,2.0029,-1.5097,2.325,0.35,8.7321,-1.3469,0.2675,0.959673,0,1698375679.8464,6
-0.4743,1.3717,0.1233,1.2362,-1.0212,4.1345,-2.0443,-0.0048,7.3795,0.8365,-3.4665,1.4462,0.0621,9.3193,-1.7926,2.0483,-1.8568,1.8969,0.2671,9.0612,-0.9543,0.3686,0.968603,0,1698375679.8564,7
-0.4519,1.5099,0.1366,1.2421,-0.2697,3.9095,-2.2043,-0.2536,7.4538,1.161,-2.058,4.259,0.9127,9.4152,-1.5791,1.8962,-1.5291,1.3224,0.1823,9.2787,-0.9889,0.4202,0.975613,0,1698375679.8666,8
-0.4321,1.5497,0.1499,1.203,0.4589,3.584,-2.1632,-0.6233,7.922,1.2864,-1.4352,5.3572,1.3314,9.4866,-1.517,1.9598,-0.4284,1.0824,0.1079,9.6106,-1.3148,0.4205,0.981058,0,1698375679.8766,9
