right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_back_ang_x,right_back_ang_y,right_back_ang_z,right_back_acc_x,right_back_acc_y,right_back_acc_z,left_back_ang_x,left_back_ang_y,left_back_ang_z,left_back_acc_x,left_back_acc_y,left_back_acc_z,,,,Label
-0.4229,-0.23,0.0087,0.0242,-0.9602,-1.4416,0.7993,0.4434,9.603,1.2977,-1.3308,2.7526,1.3091,9.4667,-2.005,2.2539,-0.8944,0.2498,0.3301,9.7368,-2.2398,0.7753,-0.999017,0,1698375506.1216,0
-0.4229,-0.1788,0.009,0.0222,-0.9628,-1.4961,0.7143,0.4376,9.6205,1.3017,-1.1584,2.8408,1.2746,9.3213,-2.0279,2.3111,-0.946,0.0626,0.2278,9.6516,-2.2551,0.7494,-0.99847,0,1698375506.1313,1
-0.4228,-0.1462,0.0095,0.0387,-1.0774,-1.4678,0.6133,0.4925,9.6871,1.1599,-1.1975,2.6894,1.1216,9.2132,-2.034,2.3933,-1.0322,-0.0827,0.1526,9.5881,-2.2692,0.7395,-0.997831,0,1698375506.1403,1
-0.4226,-0.1039,0.0106,0.0675,-1.1953,-1.4219,0.4931,0.6426,9.7708,1.0861,-1.4111,2.3178,0.8247,9.1529,-2.0545,2.4758,-1.1229,-0.1692,0.1036,9.5538,-2.2852,0.723,-0.997474,0,1698375506.1505,2
-0.4225,-0.0677,0.0118,0.0752,-1.235,-1.4366,0.3631,0.7838,9.734,1.1822,-1.6213,1.8443,0.4602,9.112,-2.0701,2.5559,-1.2181,-0.21,0.0715,9.5265,-2.3059,0.7129,-0.997557,0,1698375506.1608,3
-0.4224,-0.0659,0.0131,0.0792,-1.3101,-1.4428,0.2212,0.8988,9.6782,1.2996,-1.7855,1.4978,0.1346,9.0819,-2.0919,2.6527,-1.2768,-0.1991,0.0363,9.4998,-2.307,0.7194,-0.997821,0,1698375506.171,3
-0.4223,-0.0536,0.0145,0.0952,-1.3207,-1.423,0.0931,0.9467,9.5618,1.4272,-1.8669,1.3224,-0.1201,9.0531,-2.1248,2.7326,-1.3172,-0.1241,-0.0021,9.4825,-2.3062,0.736,-0.998143,0,1698375506.1802,4
-0.422,-0.029,0.016,0.1159,-1.2948,-1.3786,-0.009,0.8887,9.5142,1.4546,-1.8927,1.2092,-0.3307,9.0254,-2.1515,2.7605,-1.3537,-0.0267,-0.0558,9.464,-2.3124,0.7451,-0.998472,0,1698375506.1904,5
-0.4211,0.0138,0.0171,0.122,-1.3463,-1.316,-0.1334,0.8616,9.6031,1.4356,-1.8557,1.2167,-0.5053,9.0232,-2.1909,2.7693,-1.3352,0.0822,-0.1333,9.4565,-2.3224,0.7549,-0.99876,0,1698375506.2003,5
-0.4192,0.0616,0.0179,0.1188,-1.3659,-1.2571,-0.2786,0.8577,9.5885,1.4318,-1.774,1.5268,-0.6725,9.0369,-2.2287,2.8192,-1.2714,0.1941,-0.2233,9.4708,-2.3388,0.7721,-0.998986,0,1698375506.2105,6
-0.4169,0.1042,0.0194,0.1357,-1.3359,-1.1935,-0.4076,0.8049,9.4353,1.4724,-1.5768,1.9329,-0.8092,9.0441,-2.2431,2.874,-1.2048,0.3159,-0.3179,9.4969,-2.3556,0.809,-0.999155,0,1698375506.2204,7
-0.4148,0.1404,0.022,0.192,-1.2223,-1.1288,-0.5052,0.7284,9.2965,1.5116,-1.2984,2.0652,-0.8932,9.028,-2.2359,2.8703,-1.159,0.4395,-0.4161,9.5125,-2.364,0.8558,-0.999292,0,1698375506.2303,7
-0.4131,0.1565,0.0254,0.2626,-0.9389,-1.0793,-0.541,0.5922,9.1085,1.5777,-1.0191,1.8466,-0.9508,8.9688,-2.2035,2.8367,-1.1362,0.5057,-0.5418,9.5007,-2.3685,0.8935,-0.999417,0,1698375506.2407,8
-0.4112,0.182,0.0297,0.307,-0.6702,-0.9506,-0.5876,0.5305,8.8015,1.6314,-0.7927,1.3462,-0.9691,8.9043,-2.1765,2.7897,-1.1271,0.5077,-0.7008,9.4629,-2.381,0.9402,-0.999533,0,1698375506.251,9
