right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_chest_ang_x,right_chest_ang_y,right_chest_ang_z,right_chest_acc_x,right_chest_acc_y,right_chest_acc_z,left_chest_ang_x,left_chest_ang_y,left_chest_ang_z,left_chest_acc_x,left_chest_acc_y,left_chest_acc_z,,,,Label
-0.2474,-0.0455,0,0.3629,-0.7834,0.3057,-0.5463,0.7137,9.654,0.8127,0.3394,0.571,-0.3684,-9.1544,0.4405,-0.9102,-0.1646,0.7065,-0.1889,-8.4222,-4.0829,-0.1162,0.236699,0,1698651226,0
-0.2474,-0.0399,0.0007,0.2975,-0.8204,0.4192,-0.6129,0.758,9.7868,0.7157,0.1576,0.5514,-0.3881,-9.1865,0.4897,-0.9015,-0.2079,0.5435,-0.1403,-8.476,-4.0887,-0.0831,0.248658,0,1698651226,1
-0.2473,-0.0209,0.0014,0.2546,-0.937,0.5287,-0.6818,0.8387,9.7574,0.6433,-0.0211,0.5601,-0.3957,-9.2327,0.5368,-0.8692,-0.2535,0.3564,-0.0669,-8.5299,-4.1103,-0.0421,0.253074,0,1698651226,1
-0.2473,-0.0012,0.003,0.2609,-0.9874,0.6137,-0.725,0.865,9.6961,0.6146,-0.1752,0.5506,-0.3862,-9.2879,0.5675,-0.8376,-0.2974,0.2417,-0.0038,-8.5827,-4.1113,-0.0067,0.25219,0,1698651226,2
-0.2473,-0.0018,0.005,0.2327,-0.9397,0.6985,-0.7518,0.8688,9.5493,0.6019,-0.3171,0.5458,-0.3635,-9.3382,0.5866,-0.8131,-0.3537,0.1893,0.0451,-8.633,-4.0998,0.0196,0.253814,0,1698651226,3
-0.2472,0.0021,0.007,0.2094,-0.9273,0.8146,-0.7709,0.9143,9.5382,0.5439,-0.4503,0.5344,-0.34,-9.377,0.6003,-0.7967,-0.4451,0.1452,0.0994,-8.6801,-4.0938,0.0853,0.255231,0,1698651226,4
-0.2469,0.007,0.0097,0.2352,-0.9254,0.9244,-0.7857,0.874,9.6567,0.5195,-0.5836,0.5247,-0.3072,-9.408,0.6254,-0.7811,-0.58,0.1407,0.1492,-8.7004,-4.0959,0.1467,0.250641,0,1698651226,4
-0.2468,0.0068,0.013,0.2656,-0.8855,1.0642,-0.7955,0.7914,9.7379,0.4925,-0.705,0.5359,-0.2587,-9.4104,0.6467,-0.7542,-0.7214,0.1339,0.2023,-8.7028,-4.0942,0.1807,0.244417,0,1698651226,5
-0.2467,0.0055,0.0168,0.3018,-0.7924,1.2282,-0.8108,0.7638,9.6929,0.4696,-0.8138,0.5497,-0.2048,-9.3871,0.6622,-0.7363,-0.8611,0.0996,0.2666,-8.6836,-4.0716,0.1888,0.240099,0,1698651226,6
-0.2467,0.0009,0.0205,0.3136,-0.6621,1.3343,-0.8321,0.7796,9.6425,0.4901,-0.9392,0.5468,-0.1519,-9.353,0.6927,-0.7237,-0.9867,0.015,0.337,-8.6745,-4.0286,0.2092,0.236864,0,1698651226,6
-0.2466,-0.0014,0.0237,0.307,-0.6836,1.5019,-0.8443,0.7905,9.8118,0.4394,-1.0903,0.5275,-0.1057,-9.3073,0.7373,-0.7033,-1.0927,-0.0627,0.3994,-8.6573,-3.9925,0.217,0.234198,0,1698651226,7
-0.2462,0.0009,0.0268,0.3018,-0.8034,1.656,-0.8708,0.8735,9.887,0.545,-1.2537,0.4955,-0.0562,-9.2632,0.7916,-0.6935,-1.1793,-0.1179,0.4546,-8.6063,-3.9672,0.2188,0.232143,0,1698651226,8
-0.2459,0.0114,0.0302,0.295,-0.8436,1.7245,-0.9,1.0158,9.6861,0.7304,-1.4173,0.4604,0.0062,-9.2252,0.8288,-0.699,-1.2543,-0.1837,0.5111,-8.5554,-3.94,0.2301,0.230582,0,1698651226,9
-0.2452,0.029,0.0338,0.2989,-0.7811,1.8339,-0.9133,1.0525,9.5378,0.7349,-1.592,0.4118,0.0656,-9.1962,0.8515,-0.7033,-1.3415,-0.2682,0.5695,-8.5373,-3.916,0.2648,0.228972,0,1698651226,9
-0.2435,0.065,0.0369,0.2974,-0.6882,2.0085,-0.921,1.0321,9.5244,0.6702,-1.7567,0.3792,0.1212,-9.1925,0.8694,-0.6837,-1.4475,-0.3525,0.6209,-8.5579,-3.9051,0.316,0.22709,0,1698651226,10
-0.2411,0.0965,0.0389,0.2765,-0.6886,2.2446,-0.9159,1.012,9.5969,0.6074,-1.8966,0.4024,0.184,-9.2114,0.8763,-0.6556,-1.5896,-0.4069,0.6642,-8.5892,-3.9126,0.3404,0.303769,0,1698651226,11
-0.2388,0.1127,0.0407,0.2537,-0.7885,2.4757,-0.9035,0.9825,9.6323,0.5728,-2.0121,0.4469,0.2617,-9.2411,0.8847,-0.6506,-1.7647,-0.4449,0.6935,-8.6312,-3.9428,0.3355,0.446265,0,1698651226,11
-0.2369,0.1361,0.0427,0.257,-0.8704,2.6662,-0.8631,0.8872,9.6612,0.5216,-2.1435,0.4397,0.3417,-9.292,0.8877,-0.6705,-1.9518,-0.4377,0.6933,-8.6945,-3.9724,0.29,0.561385,0,1698651226,12
-0.2352,0.1506,0.0447,0.2755,-0.8394,2.8296,-0.7832,0.7313,9.8598,0.442,-2.3172,0.3753,0.4055,-9.3649,0.9066,-0.7066,-2.1568,-0.3419,0.6565,-8.7912,-3.9879,0.2455,0.649358,0,1698651226,13
-0.2334,0.1468,0.0465,0.2865,-0.7156,3.0094,-0.6794,0.587,9.9186,0.4537,-2.4725,0.3269,0.473,-9.4349,0.9357,-0.7506,-2.3433,-0.3074,0.6458,-8.8952,-3.9858,0.207,0.718387,0,1698651226,13
-0.2313,0.168,0.0485,0.2963,-0.6442,3.1779,-0.551,0.5148,9.7809,0.505,-2.6281,0.2971,0.5416,-9.4954,0.9624,-0.8201,-2.5061,-0.3608,0.7031,-8.9939,-3.967,0.2044,0.774847,0,1698651226,14
-0.2285,0.2277,0.0502,0.2774,-0.6203,3.2739,-0.4334,0.3782,9.8635,0.4839,-2.7899,0.2807,0.5864,-9.5425,0.9975,-0.9059,-2.7578,-0.4841,0.8346,-9.1021,-3.9396,0.2477,0.81538,0,1698651226,15
-0.2241,0.2892,0.0513,0.2251,-0.5352,3.3408,-0.3566,0.1713,9.973,0.5116,-2.9667,0.3097,0.6186,-9.614,1.0418,-0.9645,-3.0103,-0.4835,0.9298,-9.2116,-3.9114,0.2534,0.832631,0,1698651226,16
-0.2178,0.3543,0.0517,0.1693,-0.4453,3.4115,-0.2747,0.0288,9.9485,0.5916,-3.1023,0.3485,0.6104,-9.7078,1.0322,-1.0961,-3.1452,-0.3314,0.934,-9.3647,-3.9127,0.2147,0.824459,0,1698651226,16
-0.2112,0.3989,0.0517,0.1256,-0.3575,3.4196,-0.1523,-0.1481,10.0156,0.6867,-3.2033,0.3453,0.5682,-9.7892,0.9929,-1.2394,-3.209,-0.2908,0.9874,-9.5163,-3.9635,0.1029,0.787955,0,1698651226,17
-0.2048,0.4448,0.0516,0.0974,-0.2314,3.3457,-0.0104,-0.3724,10.0313,0.8298,-3.3492,0.3778,0.5499,-9.8799,0.9694,-1.3208,-3.2807,-0.261,1.0605,-9.5875,-4.0187,-0.0746,0.71193,0,1698651226,18
-0.1988,0.4884,0.0515,0.0756,-0.1292,3.2466,0.1331,-0.5715,10.1181,0.8666,-3.4505,0.3656,0.5281,-9.9851,0.9294,-1.4084,-3.4183,-0.2105,1.1002,-9.6444,-4.0765,-0.1512,0.625047,0,1698651226,18
-0.1936,0.4817,0.0514,0.0598,-0.1427,3.1543,0.2667,-0.728,10.27,0.7188,-3.4832,0.3101,0.4744,-10.108,0.8941,-1.4812,-3.468,-0.1109,1.1541,-9.7341,-4.1727,-0.1236,0.559891,0,1698651226,19
-0.1891,0.452,0.0513,0.0559,-0.1685,2.9692,0.3679,-0.837,10.3364,0.6978,-3.4353,0.3538,0.4336,-10.2267,0.8346,-1.5886,-3.4001,-0.1468,1.2087,-9.8085,-4.2844,-0.1826,0.51078,0,1698651226,20
-0.1856,0.4284,0.0509,0.0436,-0.1971,2.7156,0.461,-0.9458,10.2599,0.8528,-3.3325,0.4185,0.4292,-10.3323,0.7475,-1.731,-3.2511,0.1969,1.0577,-9.8092,-4.3716,-0.4366,0.473704,0,1698651226,21
-0.1827,0.3987,0.05,-0.005,-0.2321,2.4546,0.5554,-1.0481,10.3095,0.8241,-3.1691,0.4253,0.4548,-10.5308,0.7659,-1.8748,-2.9802,0.3564,1.023,-9.8679,-4.4327,-0.5898,0.445561,0,1698651226,21
-0.1804,0.3562,0.0481,-0.0709,-0.0922,2.1378,0.599,-1.1076,10.722,0.7365,-3.0056,0.3922,0.4993,-10.7094,0.7981,-1.9624,-2.6863,0.0355,1.112,-9.9208,-4.4342,-0.6116,0.422375,0,1698651226,22
-0.178,0.345,0.0449,-0.1557,0.134,1.8652,0.5868,-1.0746,11.0475,0.7207,-2.8922,0.3827,0.539,-10.731,0.759,-1.9843,-2.4035,-0.068,1.0661,-9.8707,-4.388,-0.6485,0.401949,0,1698651226,23
-0.1749,0.3573,0.0402,-0.2474,0.2586,1.6612,0.5228,-0.8857,11.1028,0.7001,-2.7726,0.3933,0.5733,-10.6764,0.7481,-1.9758,-2.1276,-0.1561,1.0313,-9.7791,-4.3054,-0.7023,0.383796,0,1698651226,23
-0.1714,0.3713,0.0347,-0.3074,0.3187,1.4635,0.4194,-0.6054,10.9062,0.7797,-2.6763,0.427,0.5956,-10.5706,0.7666,-1.9623,-1.8511,-0.3396,1.0247,-9.6586,-4.1872,-0.7561,0.366423,0,1698651226,24
-0.1675,0.3848,0.029,-0.3441,0.4353,1.3066,0.3118,-0.4056,10.5686,0.8935,-2.5946,0.4643,0.5934,-10.4,0.812,-1.9566,-1.58,-0.598,1.0383,-9.4935,-4.0561,-0.7578,0.347362,0,1698651226,25
-0.1627,0.4241,0.0223,-0.4011,0.6349,1.223,0.1984,-0.2658,10.3572,0.9388,-2.498,0.4907,0.5882,-10.1392,0.8406,-1.9327,-1.3346,-0.7629,1.0148,-9.2732,-3.9041,-0.784,0.325792,0,1698651226,26
-0.1569,0.4621,0.0143,-0.4982,0.7483,1.1905,0.0677,-0.0894,10.209,1.0539,-2.4084,0.4975,0.5979,-9.825,0.8743,-1.9035,-1.1311,-0.9719,0.988,-9.0517,-3.6938,-0.8658,0.302794,0,1698651226,26
-0.151,0.486,0.0058,-0.5867,0.8397,1.1576,-0.0687,-0.0008,9.9741,1.2478,-2.3244,0.485,0.6275,-9.4827,0.9505,-1.8698,-1.0481,-1.2332,0.9544,-8.8194,-3.443,-0.9293,0.279918,0,1698651226,27
-0.1452,0.5044,-0.0038,-0.6786,0.9286,1.1772,-0.202,0.1162,9.6337,1.4211,-2.2498,0.448,0.6599,-9.1309,1.0446,-1.8719,-1.0612,-1.5204,0.9301,-8.591,-3.2298,-0.9381,0.25806,0,1698651226,28
-0.1395,0.5059,-0.0147,-0.8194,0.9686,1.2375,-0.3234,0.225,9.4025,1.5681,-2.2207,0.3715,0.6791,-8.8143,1.1413,-1.9142,-1.0739,-1.8177,0.8975,-8.3982,-3.0246,-0.971,0.2369,0,1698651226,28
-0.1341,0.5138,-0.0267,-0.9504,0.9273,1.3049,-0.4202,0.2533,9.3932,1.6263,-2.2485,0.2524,0.6821,-8.5478,1.2375,-1.9808,-1.0659,-2.0793,0.8492,-8.2355,-2.8169,-0.9951,0.215579,0,1698651226,29
-0.1294,0.501,-0.0395,-1.0459,0.8075,1.3998,-0.4835,0.232,9.4479,1.6457,-2.3621,0.0969,0.6631,-8.3261,1.3178,-2.0573,-1.0477,-2.3106,0.8202,-8.0865,-2.636,-1.0084,0.284525,0,1698651226,30
-0.1246,0.497,-0.0536,-1.1542,0.7527,1.5323,-0.5011,0.1286,9.3557,1.7171,-2.5577,-0.0725,0.6168,-8.1755,1.3743,-2.1095,-1.0608,-2.4936,0.8104,-8.0121,-2.5003,-1.0131,0.435211,0,1698651226,30
-0.1197,0.4926,-0.0686,-1.2461,0.7,1.6941,-0.4722,0.0537,9.1566,1.8068,-2.782,-0.2356,0.5476,-8.1211,1.4065,-2.1378,-1.1052,-2.6418,0.7986,-8.0282,-2.4166,-1.0232,0.561255,0,1698651226,31
-0.1154,0.4655,-0.084,-1.2868,0.6854,1.8069,-0.4165,-0.0951,9.1094,1.8807,-3.0023,-0.3691,0.47,-8.1481,1.4309,-2.1544,-1.1745,-2.7296,0.7843,-8.0941,-2.3754,-1.0064,0.659183,0,1698651226,32
-0.1114,0.4607,-0.1004,-1.3268,0.6528,1.9176,-0.3724,-0.2899,9.1569,1.9157,-3.2067,-0.454,0.391,-8.2313,1.4849,-2.1705,-1.2889,-2.6793,0.7536,-8.1923,-2.3562,-0.9383,0.735247,0,1698651226,33
-0.1064,0.4886,-0.1172,-1.3745,0.5627,2.07,-0.3467,-0.413,9.2369,1.8977,-3.3858,-0.4851,0.31,-8.3313,1.5581,-2.1713,-1.4544,-2.5807,0.7025,-8.3354,-2.3452,-0.844,0.794314,0,1698651226,33
