right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_chest_ang_x,right_chest_ang_y,right_chest_ang_z,right_chest_acc_x,right_chest_acc_y,right_chest_acc_z,left_chest_ang_x,left_chest_ang_y,left_chest_ang_z,left_chest_acc_x,left_chest_acc_y,left_chest_acc_z,,,,Label
-0.3303,-0.4287,-0.0141,0.6292,-0.1747,0.0514,1.2882,0.3983,8.7865,0.7078,0.3244,-0.5452,0.6146,-7.4842,3.5982,-0.4481,0.6184,1.7371,-0.0454,-7.1822,-0.8524,3.9997,0.28557,0,1698647670,0
-0.3302,-0.3331,-0.0081,0.6493,-0.167,0.1663,1.117,0.407,8.8503,0.5943,0.1681,-0.3241,0.6184,-7.5828,3.5687,-0.3905,0.3253,1.5732,0.3154,-7.2446,-0.9476,4.0405,0.000209,0,1698647670,1
-0.3301,-0.2537,-0.0016,0.6808,-0.2206,0.2419,0.9798,0.3658,8.8939,0.5135,0.0612,-0.1106,0.6255,-7.6741,3.545,-0.3223,0.1326,1.4357,0.5419,-7.3205,-0.9847,4.0413,-0.222392,0,1698647670,2
-0.3298,-0.1858,0.0053,0.6756,-0.2478,0.2614,0.8417,0.3101,8.9431,0.4253,-0.0073,0.0987,0.6285,-7.7637,3.5252,-0.2733,-0.1586,1.3511,0.6965,-7.3576,-0.9748,4.1086,-0.395108,0,1698647670,2
-0.3295,-0.1312,0.0118,0.6518,-0.3149,0.2834,0.6833,0.3459,9.0283,0.3434,-0.0393,0.2774,0.6317,-7.8614,3.5309,-0.2505,-0.487,1.2529,0.8669,-7.3746,-0.982,4.2433,-0.527302,0,1698647670,3
-0.3293,-0.1018,0.0181,0.6483,-0.4122,0.2919,0.5159,0.3435,9.0076,0.2897,-0.0777,0.4146,0.6197,-7.9581,3.5581,-0.2456,-0.7003,1.152,0.9899,-7.3983,-0.9986,4.3607,-0.622925,0,1698647670,4
-0.3291,-0.0852,0.0242,0.637,-0.4827,0.2968,0.3357,0.3534,9.1048,0.2191,-0.1732,0.5228,0.584,-8.044,3.6025,-0.2362,-0.8209,1.0838,1.0624,-7.4365,-1.0053,4.4605,-0.68189,0,1698647670,5
-0.3281,-0.0357,0.03,0.635,-0.5187,0.2811,0.1803,0.4306,9.5891,0.0362,-0.3078,0.6213,0.54,-8.1307,3.6583,-0.2166,-0.8821,0.9959,1.1469,-7.4672,-1.0234,4.5663,-0.713986,0,1698647670,5
-0.3253,0.0535,0.0358,0.6187,-0.4631,0.2492,0.017,0.6258,9.3328,0.1965,-0.4653,0.7226,0.4965,-8.2122,3.7022,-0.2092,-0.8539,0.8433,1.273,-7.4859,-1.0516,4.672,-0.746628,0,1698647670,6
-0.3204,0.1856,0.0406,0.5691,-0.5239,0.1776,-0.1678,0.7509,8.5353,0.5682,-0.6498,0.8132,0.461,-8.28,3.7243,-0.1945,-0.7842,0.6957,1.3982,-7.5133,-1.0609,4.7581,-0.779952,0,1698647670,7
