right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_chest_ang_x,right_chest_ang_y,right_chest_ang_z,right_chest_acc_x,right_chest_acc_y,right_chest_acc_z,left_chest_ang_x,left_chest_ang_y,left_chest_ang_z,left_chest_acc_x,left_chest_acc_y,left_chest_acc_z,,,,Label
-0.286,-0.2858,0.0264,0.1005,-0.4731,-0.2479,0.6344,1.4046,9.4422,1.907,-0.273,0.5966,-0.6648,-7.451,4.9358,3.23,0.5275,1.1733,0.0762,-8.5105,-4.1988,-0.0409,0.991423,0,1698373571.9876,0
-0.286,-0.2494,0.0269,0.0891,-0.4558,-0.0807,0.6543,1.3486,9.3726,1.9259,-0.1417,0.7383,-0.6319,-7.428,4.8618,3.1896,0.2794,1.2682,0.1857,-8.4529,-4.213,-0.1066,0.984434,0,1698373571.9979,1
-0.286,-0.2114,0.0271,0.0741,-0.4032,0.0304,0.6596,1.302,9.3486,1.9155,0.0549,0.9038,-0.5808,-7.4237,4.7837,3.1708,0.0151,1.3727,0.2758,-8.389,-4.2341,-0.1761,0.976065,0,1698373572.0086,1
-0.2859,-0.1693,0.0271,0.0582,-0.2728,0.1494,0.6437,1.1244,9.2794,1.9819,0.5657,1.1968,-0.5032,-7.4357,4.5971,3.0968,-0.5458,1.6085,0.4194,-8.2716,-4.31,-0.2997,0.960505,0,1698373572.0203,2
-0.2857,-0.1334,0.0271,0.0481,-0.2142,0.1214,0.6113,0.9987,9.3868,1.94,0.8038,1.288,-0.4995,-7.4829,4.5413,3.0559,-0.7733,1.7128,0.483,-8.2345,-4.3744,-0.3239,0.943765,0,1698373572.0318,3
-0.2855,-0.1057,0.0271,0.0427,-0.2002,0.0741,0.5546,0.8941,9.5017,1.8016,1.0007,1.3521,-0.5078,-7.5647,4.5182,3.0555,-0.927,1.7904,0.5374,-8.2271,-4.4547,-0.327,0.917734,0,1698373572.0431,3
-0.2854,-0.075,0.0271,0.044,-0.2002,0.0741,0.5546,0.8941,9.5017,1.8016,1.0007,1.3521,-0.5078,-7.5647,4.5182,3.0555,-0.927,1.7904,0.5374,-8.2271,-4.4547,-0.327,0.882667,0,1698373572.0533,4
-0.2854,-0.0589,0.0271,0.0399,-0.2454,-0.0883,0.3676,0.8237,9.792,1.5088,-45.607498,1.3975,-0.5229,-7.7415,4.5249,3.0936,-0.9422,1.8066,0.6322,-8.2822,-4.6107,-0.3208,0.881277,0,1698373572.0652,4
-0.2854,-0.0399,0.0272,0.0185,-0.3088,-0.1621,0.2443,0.8616,9.9523,1.363,-35.044998,1.3842,-0.5174,-7.8343,4.5541,3.1168,-0.8843,1.7602,0.6627,-8.3304,-4.6756,-0.3358,0.685194,0,1698373572.0762,5
-0.2854,-0.0173,0.0276,0.007,-0.3793,-0.239,0.1153,0.8914,10.0845,1.2644,-26.854401,1.3459,-0.4876,-7.9157,4.595,3.1321,-0.7976,1.684,0.683,-8.3844,-4.7175,-0.3557,0.532157,0,1698373572.0867,6
