right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_shoulder_ang_x,right_shoulder_ang_y,right_shoulder_ang_z,right_shoulder_acc_x,right_shoulder_acc_y,right_shoulder_acc_z,left_shoulder_ang_x,left_shoulder_ang_y,left_shoulder_ang_z,left_shoulder_acc_x,left_shoulder_acc_y,left_shoulder_acc_z,,,,Label
-0.2537,-0.0398,0.0116,0.3186,-0.5879,-0.3116,-0.1152,0.843,9.5036,0.5669,0.3584,0.2907,-2.5907,1.9524,5.2384,8.25,0.5931,0.774,-0.3712,0.7303,-5.7607,7.6141,0.937236,0,1698651997,0
-0.2537,-0.0481,0.0153,0.312,-0.5603,-0.1583,-0.1418,0.9357,9.5775,0.6063,0.3769,0.332,-2.4806,1.9118,5.2387,8.2573,0.6524,0.6973,-0.3416,0.683,-5.734,7.567,0.951205,0,1698651997,1
-0.2536,-0.0294,0.0185,0.2928,-0.6079,-0.023,-0.2238,1.0165,9.7074,0.624,0.4109,0.3828,-2.3696,1.864,5.2353,8.2605,0.7003,0.6062,-0.3058,0.6569,-5.7004,7.5335,0.962095,0,1698651997,1
-0.2536,-0.0159,0.0213,0.2825,-0.7293,0.1127,-0.3156,1.0739,9.8037,0.5745,0.4432,0.3984,-2.262,1.8097,5.2419,8.2708,0.728,0.5201,-0.2593,0.653,-5.6567,7.5126,0.970557,0,1698651997,2
-0.2535,-0.0216,0.024,0.2899,-0.8372,0.2276,-0.3878,1.1065,9.8151,0.5496,0.4581,0.3492,-2.1503,1.7547,5.2594,8.2721,0.7351,0.4413,-0.2113,0.6299,-5.6324,7.4934,0.97713,0,1698651997,3
-0.2535,-0.0236,0.0273,0.3005,-0.8784,0.3261,-0.4387,1.135,9.7503,0.5453,0.4612,0.2854,-2.0269,1.709,5.2797,8.2633,0.7313,0.352,-0.1739,0.5892,-5.6234,7.4721,0.982236,0,1698651997,3
-0.2533,-0.0087,0.0314,0.326,-0.786,0.4555,-0.4382,1.1959,9.5764,0.6261,0.4567,0.2162,-1.8893,1.6554,5.2994,8.2681,0.7283,0.2426,-0.1569,0.5432,-5.6212,7.4339,0.986202,0,1698651997,4
-0.253,0.0022,0.0356,0.3416,-0.629,0.6156,-0.4165,1.2234,9.5261,0.7172,0.4499,0.1344,-1.7398,1.6047,5.315,8.285,0.7276,0.1286,-0.1496,0.4826,-5.6275,7.3941,0.989283,0,1698651997,5
-0.2527,0.0026,0.0386,0.3185,-0.5735,0.8184,-0.4022,1.2013,9.6254,0.6637,0.4462,0.0461,-1.5939,1.5791,5.3164,8.308,0.7271,-0.0179,-0.1371,0.4363,-5.6314,7.3813,0.991676,0,1698651997,6
-0.2525,0.0035,0.041,0.2936,-0.5917,1.0169,-0.4218,1.234,9.6449,0.5885,0.4383,-0.0523,-1.472,1.5548,5.3135,8.3376,0.7259,-0.21,-0.1061,0.4159,-5.6306,7.3821,0.993534,0,1698651997,6
-0.2525,0.0021,0.0431,0.2665,-0.6187,1.1625,-0.4728,1.2811,9.5937,0.564,0.4176,-0.1585,-1.3611,1.5431,5.3118,8.3684,0.719,-0.3729,-0.0513,0.4136,-5.6464,7.3905,0.994978,0,1698651997,7
