right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_shoulder_ang_x,right_shoulder_ang_y,right_shoulder_ang_z,right_shoulder_acc_x,right_shoulder_acc_y,right_shoulder_acc_z,left_shoulder_ang_x,left_shoulder_ang_y,left_shoulder_ang_z,left_shoulder_acc_x,left_shoulder_acc_y,left_shoulder_acc_z,,,,Label
-0.2979,-0.0265,0.0177,0.1011,-1.1957,-0.0276,-0.5821,0.1558,9.6399,1.1051,0.953,0.7954,-1.0375,2.2275,4.3572,8.5745,0.2264,1.3554,-0.46,3.9109,-4.705,7.7082,0.950889,0,1698649096,0
-0.2979,-0.0272,0.0198,0.127,-1.1535,-0.0417,-0.5487,0.1333,9.5193,1.0569,1.0919,0.8066,-1.0501,2.1735,4.3479,8.5241,0.2747,1.3824,-0.489,3.9058,-4.6698,7.6983,0.938815,0,1698649096,1
-0.2979,-0.0284,0.0225,0.1676,-1.1956,-0.0364,-0.5177,0.2054,9.4863,1.0078,1.1111,0.587,-1.0624,2.1175,4.3517,8.4988,0.3541,1.4349,-0.5269,3.9251,-4.6122,7.6802,0.930397,0,1698649096,1
-0.2978,-0.0199,0.0256,0.2144,-1.2931,-0.0332,-0.5158,0.3228,9.6341,1.0003,1.0604,0.1983,-1.106,2.0833,4.3876,8.4831,0.4557,1.4629,-0.5895,3.9762,-4.5444,7.642,0.935896,0,1698649096,2
-0.2978,-0.0136,0.0286,0.2501,-1.3629,-0.0349,-0.55,0.4573,9.8681,0.9977,1.0014,-0.125,-1.1911,2.0947,4.4349,8.4859,0.5705,1.4114,-0.6825,4.0776,-4.4964,7.5977,0.947201,0,1698649096,3
-0.2978,-0.0109,0.0315,0.2779,-1.4052,-0.0362,-0.598,0.6006,9.9772,0.9754,0.9258,-0.2917,-1.2989,2.1517,4.4698,8.5074,0.6741,1.3151,-0.8084,4.2344,-4.4497,7.5365,0.95781,0,1698649096,4
-0.2978,-0.008,0.0346,0.3158,-1.4108,-0.0356,-0.6369,0.6931,9.8334,1.0543,0.8278,-0.3488,-1.3826,2.2478,4.4993,8.551,0.7282,1.2139,-0.9607,4.4073,-4.3955,7.4498,0.96677,0,1698649096,4
-0.2977,-0.0125,0.0382,0.3637,-1.375,-0.0036,-0.6629,0.7191,9.4977,1.1968,0.6682,-0.382,-1.4,2.3599,4.531,8.6103,0.7054,1.1575,-1.1625,4.5651,-4.3743,7.3612,0.97401,0,1698649096,5
-0.2977,-0.0118,0.0425,0.3987,-1.3336,0.1117,-0.6908,0.7245,9.1316,1.3083,0.3951,-0.5953,-1.3555,2.4525,4.5519,8.6523,0.6144,1.1938,-1.4386,4.6692,-4.3794,7.3016,0.979697,0,1698649096,6
-0.2976,-0.005,0.0469,0.3901,-1.2461,0.26,-0.7627,0.7693,8.9914,1.3623,0.0833,-1.0627,-1.2868,2.5234,4.5535,8.6783,0.462,1.3438,-1.7953,4.6888,-4.4054,7.2793,0.984123,0,1698649096,7
-0.2973,0.0105,0.0504,0.3536,-0.9847,0.3112,-0.8296,0.7227,9.0808,1.3938,-0.118,-1.2825,-1.1968,2.6282,4.5274,8.7137,0.2532,1.5762,-2.2233,4.5985,-4.4602,7.2929,0.987468,0,1698649096,7
-0.2958,0.0637,0.0531,0.3343,-0.6418,0.2522,-0.8901,0.4793,9.0355,1.4934,-0.1516,-0.9786,-1.0545,2.7622,4.4577,8.7506,0.022,1.7883,-2.6852,4.4279,-4.5387,7.3479,0.990074,0,1698649096,8
-0.2932,0.141,0.0554,0.3245,-0.563,0.3444,-0.9738,0.4284,8.9141,1.4684,-0.1096,-0.4852,-0.8929,2.8431,4.3697,8.8011,-0.1959,1.8678,-3.1062,4.2376,-4.6263,7.4401,0.992133,0,1698649096,9
-0.2891,0.2126,0.0578,0.3111,-0.7302,0.5268,-1.049,0.4314,9.106,1.4484,-0.1102,-0.3567,-0.7366,2.842,4.3197,8.8543,-0.3967,1.8085,-3.4127,4.0508,-4.7193,7.5849,0.99328,0,1698649096,9
-0.2825,0.3048,0.0603,0.2856,-0.8038,0.648,-1.0937,0.2207,9.545,1.589,-0.1566,-0.7205,-0.5573,2.8286,4.3196,8.9164,-0.5952,1.6909,-3.5912,3.8929,-4.7982,7.7722,0.993122,0,1698649096,10
-0.2746,0.4334,0.0626,0.2626,-0.7417,0.7533,-1.0706,0.0027,10.0865,1.6942,-0.0709,-1.0355,-0.4001,2.8786,4.3723,9.0109,-0.7784,1.5416,-3.6352,3.7911,-4.8404,7.965,0.992528,0,1698649096,11
-0.267,0.5254,0.0642,0.2366,-0.6687,0.7736,-0.998,-0.2668,10.548,1.8256,0.2301,-0.9282,-0.3113,2.9629,4.519,9.1054,-0.9199,1.3592,-3.5543,3.7555,-4.8562,8.1581,0.990977,0,1698649096,12
-0.2602,0.5363,0.0647,0.2014,-0.6793,0.7077,-0.8991,-0.5188,10.997,1.9798,0.6147,-0.59,-0.2482,3.0091,4.7425,9.1973,-1.0085,1.1254,-3.3859,3.7926,-4.8583,8.3658,0.982324,0,1698649096,12
-0.2557,0.4764,0.0646,0.1507,-0.7208,0.5695,-0.7523,-0.7235,11.3167,2.1658,0.9467,-0.278,-0.2044,3.0159,4.9821,9.336,-1.0534,0.8782,-3.1698,3.9171,-4.8534,8.5886,0.938026,0,1698649096,13
-0.2541,0.3648,0.0643,0.1014,-0.771,0.4213,-0.5702,-0.7554,11.4616,2.3849,1.1568,-0.114,-0.2146,3.0086,5.2198,9.517,-1.0585,0.7664,-2.9491,4.1026,-4.8617,8.829,0.891519,0,1698649096,14
-0.2542,0.2671,0.064,0.064,-0.8994,0.3053,-0.3784,-0.7215,11.674,2.4436,1.1888,-0.2286,-0.2652,2.9895,5.4363,9.704,-1.0436,0.9087,-2.7343,4.284,-4.8845,9.0948,0.841386,0,1698649096,14
-0.2543,0.2245,0.0633,-0.0002,-1.1653,0.3788,-0.1417,-0.6614,11.3935,2.6752,1.0994,-0.5171,-0.3096,2.9862,5.6325,9.8942,-1.0151,1.2613,-2.5376,4.4094,-4.9283,9.3481,0.677385,0,1698649096,15
-0.2543,0.1918,0.0617,-0.0686,-1.4946,0.6132,0.0439,-0.1278,10.8795,3.0321,0.9883,-0.7386,-0.333,3.0224,5.8282,10.0468,-0.929,1.6885,-2.3967,4.4155,-4.9958,9.521,0.442623,0,1698649096,16
-0.254,0.1634,0.0578,-0.1939,-1.6003,0.6597,0.0815,0.4786,10.9672,3.1569,0.9275,-0.7666,-0.3265,3.0505,5.9908,10.1273,-0.7658,2.1414,-2.3163,4.2865,-5.052,9.5864,0.312568,0,1698649096,17
-0.2534,0.152,0.0516,-0.3508,-1.5095,0.6354,0.0434,0.6914,11.3398,3.1598,0.9408,-0.5693,-0.2694,3.0069,6.0656,10.1308,-0.5701,2.6448,-2.2989,4.0425,-5.0782,9.5225,0.357005,0,1698649096,17
-0.2517,0.1719,0.0441,-0.4839,-1.5122,0.74,-0.0527,0.7618,11.4212,3.0674,0.9196,-0.2457,-0.1348,2.884,6.032,10.0122,-0.3848,3.1023,-2.3392,3.7052,-5.0778,9.3683,0.483927,0,1698649096,18
-0.2485,0.2393,0.0357,-0.6164,-1.5297,0.8469,-0.181,0.7213,11.0063,2.9705,0.8639,0.2665,0.0832,2.7113,5.8934,9.803,-0.2196,3.4211,-2.3977,3.3102,-5.059,9.1759,0.598118,0,1698649096,19
-0.2439,0.3066,0.0263,-0.6903,-1.4307,0.9461,-0.2909,0.5833,10.4462,2.8172,0.8633,0.8569,0.2942,2.4582,5.6877,9.5413,-0.0716,3.6269,-2.4491,2.89,-5.0152,8.9177,0.687289,0,1698649096,20
-0.2391,0.3382,0.0159,-0.7522,-1.2985,1.0529,-0.372,0.4057,9.9777,2.6492,0.8602,1.0862,0.4794,2.1208,5.4642,9.1889,0.0629,3.7236,-2.4933,2.5024,-4.9505,8.6102,0.756641,0,1698649096,20
-0.2351,0.3399,0.0056,-0.8225,-1.293,1.1342,-0.4358,0.1537,9.6763,2.4485,0.8511,1.0939,0.6889,1.7571,5.2428,8.8019,-0.0346,3.7059,-2.5132,2.1684,-4.8692,8.3064,0.81051,0,1698649096,21
-0.2315,0.3453,-0.0043,-0.8789,-1.4369,1.165,-0.4982,-0.1503,9.5925,2.207,1.0876,1.4552,0.8312,1.3875,5.0442,8.4494,-0.0857,3.6001,-2.4954,1.8505,-4.7749,8.0226,0.844688,0,1698649096,22
-0.2274,0.3704,-0.014,-0.9317,-1.4388,1.1045,-0.5773,-0.3974,9.3039,2.0668,1.5543,2.1807,0.905,1.0507,4.8749,8.1222,0.1645,3.3407,-2.404,1.5739,-4.6435,7.7752,0.87019,0,1698649096,22
-0.2226,0.4022,-0.0238,-0.979,-1.2281,0.9391,-0.6694,-0.6615,8.8593,1.9995,1.9185,2.6045,0.93,0.7736,4.7415,7.8539,0.484,2.8282,-2.2052,1.4152,-4.4622,7.6118,0.897694,0,1698649096,23
-0.2173,0.4424,-0.0333,-0.9854,-1.0201,0.7944,-0.747,-0.8163,8.5011,1.9647,1.9296,2.1897,0.9511,0.5501,4.6497,7.662,0.8217,2.1574,-1.9084,1.4015,-4.2782,7.5018,0.920523,0,1698649096,24
-0.2108,0.5138,-0.0422,-0.9288,-0.8244,0.6539,-0.7987,-0.8634,8.1536,2.0477,1.6143,1.1815,1.0561,0.4118,4.6305,7.5226,1.0541,1.4531,-1.5586,1.5109,-4.1244,7.4273,0.938267,0,1698649096,25
-0.2034,0.5812,-0.0497,-0.8522,-0.5515,0.4536,-0.8124,-0.9561,7.8974,2.2779,1.1947,0.1675,1.1701,0.4081,4.7112,7.4381,1.1495,0.7825,-1.2316,1.7052,-3.9991,7.4494,0.952049,0,1698649096,25
-0.1962,0.6143,-0.0557,-0.7726,-0.1861,0.2299,-0.7608,-1.0711,7.7999,2.5572,0.741,-0.6688,1.2347,0.5278,4.8777,7.43,1.1699,0.2983,-1.0201,1.9419,-3.9108,7.5873,0.962749,0,1698649096,26
-0.1895,0.6415,-0.0614,-0.719,0.1353,0.0688,-0.6714,-1.1016,7.9629,2.7996,0.3366,-1.3106,1.2253,0.7211,5.0922,7.5065,1.1806,0.1131,-0.9539,2.1404,-3.8676,7.8094,0.971016,0,1698649096,27
-0.183,0.6561,-0.068,-0.7275,0.2715,-0.0204,-0.5866,-1.0345,8.3653,2.9819,0.1052,-1.7767,1.0935,0.9538,5.3382,7.6287,1.2272,0.2172,-0.9715,2.2543,-3.837,8.0484,0.977297,0,1698649096,28
