right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_shoulder_ang_x,right_shoulder_ang_y,right_shoulder_ang_z,right_shoulder_acc_x,right_shoulder_acc_y,right_shoulder_acc_z,left_shoulder_ang_x,left_shoulder_ang_y,left_shoulder_ang_z,left_shoulder_acc_x,left_shoulder_acc_y,left_shoulder_acc_z,,,,Label
-0.3952,-0.4078,-0.0764,0.588,-1.5075,2.2841,1.3159,0.076,9.0571,0.9455,0.0587,0.6096,-0.3171,0.4653,1.9477,8.8327,-0.4737,1.1508,0.2915,-0.2134,-5.2666,6.5607,0.999377,0,1698371510,0
-0.395,-0.3122,-0.0699,0.6053,-1.5763,2.2175,1.1283,0.0879,9.2123,0.865,0.1041,0.6325,-0.1428,0.4734,1.9317,8.8614,-0.5724,1.0573,0.6137,-0.1601,-5.3422,6.6372,0.999516,0,1698371510,1
-0.3948,-0.2309,-0.0632,0.6419,-1.6698,2.1436,0.9374,0.0576,9.3296,0.759,0.3711,0.6606,0.0479,0.4671,1.9126,8.9115,-0.6406,0.9327,0.8981,-0.0947,-5.4333,6.7125,0.999624,0,1698371510,2
-0.3945,-0.1711,-0.0562,0.672,-1.7143,2.0215,0.7261,-0.0224,9.3539,0.6561,0.5972,0.6755,0.2421,0.4433,1.9077,8.962,-0.6739,0.784,1.1343,-0.0062,-5.5321,6.8,0.999708,0,1698371511,2
-0.3943,-0.1362,-0.0493,0.689,-1.7744,1.8788,0.4691,-0.0617,9.3271,0.602,0.5812,0.6675,0.4321,0.409,1.909,9.0019,-0.6734,0.6241,1.3331,0.0713,-5.6176,6.8916,0.999773,0,1698371511,3
-0.3937,-0.0819,-0.0422,0.7126,-1.8492,1.7059,0.2192,-0.0079,9.3861,0.5841,0.601,0.6383,0.6087,0.3703,1.8947,9.0474,-0.6389,0.494,1.4994,0.1337,-5.6766,6.9624,0.999821,0,1698371511,4
-0.3916,0.024,-0.0353,0.7466,-1.7684,1.4343,-0.0227,0.0292,9.0693,0.8204,0.6548,0.5901,0.7646,0.3208,1.8852,9.0961,-0.5831,0.3793,1.6542,0.1835,-5.7382,6.9891,0.999844,0,1698371511,5
-0.3877,0.15,-0.0292,0.7506,-1.7594,1.231,-0.2949,0.1165,8.6102,0.9371,0.7256,0.527,0.8985,0.2681,1.8888,9.1283,-0.5236,0.2834,1.811,0.2147,-5.7948,7.008,0.999757,0,1698371511,5
-0.3818,0.2755,-0.0228,0.7454,-1.8461,1.126,-0.5617,0.2837,8.7275,0.7877,0.7959,0.4423,1.0025,0.2318,1.8889,9.1421,-0.4774,0.2182,1.9686,0.2234,-5.8386,7.0387,0.999501,0,1698371511,6
-0.3742,0.4127,-0.0161,0.7628,-1.7958,1.0257,-0.7911,0.3708,8.7529,0.8018,0.8599,0.3364,1.0773,0.2094,1.8874,9.1715,-0.4517,0.1583,2.1235,0.2225,-5.8822,7.0646,0.998944,0,1698371511,7
-0.3656,0.5451,-0.0092,0.7911,-1.6477,0.9605,-0.9557,0.4693,8.6167,0.8903,0.9155,0.226,1.1311,0.1841,1.8825,9.2187,-0.4266,0.0776,2.2778,0.2204,-5.9206,7.0875,0.997793,0,1698371511,8
-0.3565,0.6461,-0.0022,0.787,-1.4585,0.8792,-1.0451,0.4821,8.6551,0.9847,0.9656,0.1181,1.1721,0.1753,1.883,9.2462,-0.391,-0.0609,2.4318,0.2171,-5.9459,7.0967,0.984423,0,1698371511,9
-0.3467,0.7101,0.0056,0.7583,-1.2383,0.8408,-1.066,0.3809,8.7859,0.9642,1.0147,0.0207,1.2141,0.1974,1.9122,9.2708,-0.3701,-0.252,2.5752,0.2331,-5.9671,7.1287,0.919449,0,1698371511,9
-0.3374,0.777,0.0133,0.7333,-1.1021,0.8715,-1.049,0.2929,9.0941,0.8409,1.0631,-0.0558,1.2621,0.2378,1.9656,9.3177,-0.382,-0.4439,2.7037,0.2644,-5.9793,7.2147,0.823325,0,1698371511,10
-0.3289,0.8245,0.0205,0.7022,-0.9419,0.9012,-0.9949,0.2344,9.3217,0.7988,1.1015,-0.1119,1.3113,0.2603,2.0355,9.3809,-0.4185,-0.5571,2.8222,0.32,-5.9848,7.3292,0.741824,0,1698371511,11
-0.3215,0.8049,0.0266,0.6476,-0.7313,0.9431,-0.9129,0.2524,9.3905,0.8775,1.1339,-0.1486,1.364,0.2554,2.1234,9.4677,-0.4955,-0.5658,2.9305,0.39,-6.0062,7.448,0.694851,0,1698371511,12
-0.315,0.7581,0.0314,0.5994,-0.6214,1.0114,-0.8423,0.3511,9.5373,1.0151,1.1778,-0.1592,1.4016,0.2764,2.2139,9.5714,-0.5987,-0.5112,3.0231,0.4585,-6.0466,7.5571,0.6875,0,1698371511,13
-0.3099,0.6751,0.0355,0.5622,-0.456,1.0807,-0.7466,0.3935,9.5986,1.2153,1.2392,-0.1368,1.4103,0.312,2.294,9.684,-0.6635,-0.4501,3.0729,0.5205,-6.0937,7.6678,0.711334,0,1698371511,13
-0.3068,0.547,0.0395,0.5003,-0.2713,1.3825,-0.6526,0.4048,9.6125,1.3366,1.3047,-0.1057,1.3957,0.3327,2.3614,9.8129,-0.6815,-0.3719,3.0817,0.5507,-6.164,7.7722,0.76292,0,1698371511,14
-0.3062,0.4049,0.0419,0.401,-0.1056,1.6322,-0.6018,0.4649,9.6603,1.334,1.3565,-0.0713,1.3589,0.3575,2.4147,9.9478,-0.629,-0.2745,3.0502,0.5521,-6.252,7.8282,0.815709,0,1698371511,15
-0.307,0.3116,0.0422,0.3123,-0.0085,1.6541,-0.5632,0.468,9.6647,1.2997,1.3814,-0.0251,1.3064,0.3985,2.4479,10.0558,-0.4893,-0.164,2.978,0.5354,-6.335,7.8353,0.856854,0,1698371511,16
-0.3072,0.2508,0.0423,0.2554,-0.0004,1.7605,-0.529,0.5001,9.7171,1.2027,1.3683,0.0049,1.2554,0.4394,2.459,10.1423,-0.2761,-0.0628,2.864,0.4902,-6.3998,7.8112,0.888814,0,1698371511,16
-0.3074,0.1768,0.0423,0.2037,0.0239,1.9079,-0.4776,0.5715,9.7086,1.0501,1.3267,0.0239,1.2183,0.4627,2.4571,10.2021,0.0114,-0.0395,2.686,0.4139,-6.436,7.7684,0.913639,0,1698371511,17
-0.3083,0.1174,0.0423,0.1584,0.3298,2.0097,-0.4028,0.6013,9.5462,0.8421,1.2628,0.0183,1.1998,0.4732,2.4611,10.2231,0.3336,-0.1399,2.4318,0.3046,-6.4614,7.7247,0.932921,0,1698371511,18
-0.3096,0.0765,0.0426,0.1258,0.7132,2.162,-0.3192,0.6504,9.3671,0.6121,1.1969,-0.01,1.2135,0.483,2.4665,10.2584,0.6018,-0.3449,2.1492,0.1532,-6.4795,7.7031,0.947898,0,1698371511,19
-0.3103,0.0637,0.0434,0.1243,0.7707,2.4891,-0.232,0.8174,9.4044,0.396,1.1526,-0.0635,1.2744,0.4743,2.474,10.3192,0.7436,-0.5109,1.9058,-0.0384,-6.4989,7.7413,0.95953,0,1698371511,20
-0.31,0.0619,0.0447,0.1404,0.8205,2.7951,-0.1328,1.0021,9.5948,0.2833,1.1608,-0.1476,1.3865,0.4443,2.5316,10.398,0.7693,-0.5598,1.7448,-0.269,-6.513,7.8683,0.968566,0,1698371511,20
-0.3098,0.0675,0.0458,0.1472,0.9989,3.0039,-0.0259,1.0761,9.7914,0.3015,1.2303,-0.2496,1.5238,0.4317,2.659,10.5348,0.722,-0.6506,1.6863,-0.5225,-6.5316,8.0584,0.975584,0,1698371511,21
-0.3085,0.1234,0.0464,0.1306,1.313,3.0288,0.0776,0.8775,10.3962,0.3916,1.3251,-0.3468,1.674,0.4404,2.8153,10.7432,0.6316,-0.9622,1.7005,-0.7648,-6.6316,8.2945,0.981036,0,1698371511,22
-0.3043,0.2605,0.0463,0.0998,1.6286,2.8769,0.1409,0.5036,10.6482,0.8483,1.4277,-0.3736,1.8571,0.4409,3.0122,11.0007,0.506,-1.4361,1.7959,-0.9447,-6.7724,8.5712,0.98527,0,1698371511,23
-0.2964,0.4549,0.0459,0.0762,1.5856,2.7606,0.1432,0.0143,10.7959,1.3207,1.51,-0.3374,2.0777,0.4123,3.2698,11.2825,0.3539,-1.8655,1.9995,-1.0259,-6.8763,8.8633,0.988559,0,1698371511,23
-0.2857,0.6255,0.045,0.0171,1.3878,2.6217,0.1987,-0.6445,11.3096,1.5405,1.5296,-0.2829,2.3325,0.3547,3.5293,11.5664,0.1854,-2.1906,2.2957,-1.0449,-6.9865,9.1423,0.991113,0,1698371511,24
-0.2745,0.7252,0.0421,-0.1116,1.656,2.4635,0.3108,-1.4342,11.7575,1.8658,1.4638,-0.2396,2.6268,0.2696,3.7525,11.8272,0.0231,-2.5121,2.634,-1.0639,-7.1066,9.3858,0.993097,0,1698371511,25
-0.2646,0.7721,0.0372,-0.2485,2.1166,2.2162,0.4644,-2.1906,12.0501,2.166,1.3054,-0.2137,2.9499,0.168,3.9633,12.0563,-0.1354,-2.7933,2.9539,-1.0661,-7.1573,9.5829,0.994638,0,1698371511,26
-0.2573,0.7284,0.0297,-0.3881,2.3277,1.7975,0.639,-2.5832,12.0975,2.3941,1.0699,-0.174,3.2785,0.0888,4.1454,12.2168,-0.2815,-2.9547,3.2066,-1.0144,-7.1326,9.7109,0.995836,0,1698371511,27
-0.2532,0.6119,0.019,-0.5558,2.7428,0.8138,0.9138,-2.7118,11.9364,2.8343,0.3399,0.0792,3.8929,0.0615,4.4428,12.0951,-0.314,-3.0199,3.6033,-0.7587,-6.8579,9.6307,0.996765,0,1698371511,27
-0.2515,0.5007,0.0018,-0.7968,2.7428,0.8138,0.9138,-2.7118,11.9364,2.8343,0.3399,0.0792,3.8929,0.0615,4.4428,12.0951,-0.314,-3.0199,3.6033,-0.7587,-6.8579,9.6307,0.997488,0,1698371511,28
-0.2494,0.4368,-0.0199,-1.1077,2.6158,0.5393,1.0076,-1.7682,10.3623,3.7351,-0.8057,0.7603,4.479,0.02,4.4552,11.2102,0.09,-2.8519,3.8248,-0.5299,-6.159,9.0081,0.998049,0,1698371511,29
-0.2435,0.5109,-0.0441,-1.3546,2.1965,0.1524,0.8019,-1.444,9.8548,4.1378,-1.3684,1.1033,4.7337,-0.0083,4.3703,10.6563,0.2983,-2.534,3.8736,-0.4886,-5.7392,8.6241,0.998484,0,1698371511,30
-0.2331,0.6972,-0.0709,-1.5621,1.6314,0.1262,0.5084,-1.0133,10.1734,3.8474,-1.8353,1.3014,4.952,-0.0751,4.2531,10.1014,0.4124,-2.0553,3.8929,-0.5075,-5.3279,8.2741,0.998823,0,1698371511,30
-0.2208,0.8337,-0.0966,-1.7907,1.3714,0.2176,0.1951,-0.6425,9.8949,3.5307,-2.1161,1.4043,5.1003,-0.1645,4.1119,9.6026,0.421,-1.5361,3.8447,-0.6112,-4.9501,7.982,0.999085,0,1698371511,31
-0.2084,0.8939,-0.1219,-1.9721,1.0493,0.309,-0.0575,-0.3504,9.782,3.3777,-2.1885,1.5182,5.1584,-0.2488,3.9818,9.2104,0.3534,-1.1387,3.7298,-0.7714,-4.6658,7.7584,0.999074,0,1698371511,32
-0.1971,0.9484,-0.1463,-2.0617,0.5255,0.5359,-0.3143,-0.3096,9.5513,3.2466,-1.7235,1.7175,4.9852,-0.4703,3.7937,8.7319,0.126,-0.8467,3.4043,-1.1259,-4.4504,7.5169,0.994464,0,1698371511,33
-0.187,0.9587,-0.1733,-2.1276,0.1817,0.6696,-0.3987,-0.5235,9.884,2.9926,-1.3237,1.7862,4.7835,-0.6427,3.7635,8.642,0.04,-0.9067,3.2548,-1.2597,-4.4562,7.5056,0.966935,0,1698371511,34
-0.1777,0.9468,-0.2006,-2.2232,-0.1636,0.7913,-0.5281,-0.842,10.4415,2.6201,-0.9117,1.7782,4.4973,-0.8753,3.7618,8.6299,-0.0192,-1.0427,3.1352,-1.3248,-4.5125,7.5516,0.938298,0,1698371511,34
-0.1698,0.9278,-0.2234,-2.2449,-0.3535,0.8177,-0.6389,-1.2345,10.5361,2.409,-0.5091,1.668,4.1003,-1.0856,3.7751,8.6986,-0.0711,-1.2293,3.0296,-1.3206,-4.6194,7.6392,0.938568,0,1698371511,35
-0.1619,0.8878,-0.2451,-2.1843,-0.3672,0.6907,-0.7207,-1.6829,10.1673,2.4072,-0.1239,1.4777,3.6053,-1.2347,3.7969,8.8078,-0.1268,-1.4254,2.9262,-1.2423,-4.7516,7.7556,0.950397,0,1698371511,36
-0.1533,0.8656,-0.2663,-2.1263,-0.3821,0.5819,-0.7638,-2.0999,9.7068,2.412,0.1949,1.2744,3.0572,-1.3378,3.8267,8.9273,-0.1632,-1.5718,2.8212,-1.0916,-4.8738,7.8882,0.959628,0,1698371511,37
-0.1442,0.8738,-0.2856,-2.092,-0.4269,0.4497,-0.8109,-2.3955,9.4405,2.3174,0.4016,1.0892,2.4994,-1.3946,3.8705,9.0528,-0.1574,-1.6462,2.6988,-0.9032,-4.9625,8.0212,0.953487,0,1698371511,38
-0.1351,0.8806,-0.3024,-2.004,-0.4217,0.2702,-0.8773,-2.5598,9.4481,2.1025,0.4829,0.9079,1.9656,-1.3981,3.9504,9.1647,-0.1307,-1.6248,2.5534,-0.6919,-5.0157,8.1205,0.8884,0,1698371511,38
-0.1261,0.9011,-0.3175,-1.8453,-0.3281,0.0244,-0.9689,-2.6196,9.3492,1.9543,0.4531,0.7287,1.47,-1.3372,4.0087,9.2385,-0.0989,-1.4804,2.385,-0.4802,-5.0302,8.1781,0.720531,0,1698371511,39
-0.1164,0.9461,-0.331,-1.6978,-0.2051,-0.2561,-1.0571,-2.5292,9.062,1.8927,0.349,0.5589,1.0263,-1.2201,4.019,9.259,-0.0589,-1.2429,2.1904,-0.3102,-4.998,8.1905,0.509463,0,1698371511,40
-0.106,0.9819,-0.3428,-1.5767,-0.1037,-0.5234,-1.1461,-2.3654,8.9507,1.8314,0.2094,0.4176,0.6509,-1.0642,4.0094,9.2262,-0.015,-0.9988,1.9668,-0.1813,-4.9083,8.1659,0.3524,0,1698371511,41
-0.0966,0.9833,-0.3528,-1.456,0.0254,-0.8068,-1.2493,-2.1583,8.9267,1.8103,0.0694,0.3334,0.3551,-0.8801,3.9736,9.1494,0.0242,-0.7717,1.7215,-0.1157,-4.7822,8.1032,0.24938,0,1698371511,41
-0.0876,0.9738,-0.3622,-1.3453,0.0583,-1.0542,-1.349,-1.9108,9.033,1.7546,-0.0572,0.3089,0.1424,-0.7087,3.9284,9.0422,0.0342,-0.4905,1.5037,-0.1153,-4.6385,7.9816,0.169927,0,1698371511,42
-0.0791,0.9877,-0.3711,-1.2562,-0.0013,-1.2515,-1.4274,-1.776,9.2716,1.6857,-0.1641,0.3248,0.0053,-0.566,3.8799,8.9213,0.0002,-0.1766,1.3439,-0.1385,-4.4914,7.8318,0.108466,0,1698371511,43
-0.071,0.9851,-0.38,-1.1878,0.0129,-1.4516,-1.4916,-1.798,9.4518,1.6287,-0.2385,0.367,-0.085,-0.4313,3.8097,8.8097,-0.0688,0.0706,1.2198,-0.1816,-4.3675,7.6898,-0.001039,0,1698371511,44
-0.0628,0.9447,-0.3897,-1.1701,0.0324,-1.8542,-1.5407,-1.8141,9.4849,1.5411,-0.2632,0.4237,-0.1645,-0.3136,3.7172,8.7132,-0.1531,0.2626,1.1251,-0.2242,-4.2841,7.5642,-0.177492,0,1698371511,45
-0.0549,0.8782,-0.3994,-1.1188,-0.0129,-2.1567,-1.5677,-1.7437,9.6023,1.4362,-0.2363,0.4796,-0.2587,-0.2348,3.6314,8.605,-0.2254,0.4365,1.0541,-0.2519,-4.2348,7.4418,-0.352226,0,1698371511,45
-0.0479,0.8144,-0.4087,-1.0265,-0.1469,-2.1308,-1.5708,-1.6649,9.4732,1.4258,-0.1694,0.5281,-0.3735,-0.189,3.5618,8.5146,-0.2807,0.5894,0.9836,-0.2526,-4.2126,7.3511,-0.496427,0,1698371511,46
-0.0414,0.7693,-0.4177,-0.9803,-0.511,-2.0255,-1.5647,-1.5078,9.4288,1.3937,-0.0654,0.5667,-0.5148,-0.1527,3.515,8.4708,-0.3279,0.7176,0.9007,-0.2627,-4.2124,7.3223,-0.608846,0,1698371511,47
-0.0358,0.7221,-0.4263,-0.9661,-0.896,-1.9259,-1.5335,-1.3208,9.7648,1.2685,0.0596,0.5847,-0.6807,-0.1154,3.4969,8.4622,-0.3697,0.8265,0.8006,-0.2776,-4.216,7.3266,-0.696179,0,1698371511,48
-0.0311,0.6549,-0.4343,-0.9264,-1.1703,-1.8297,-1.4462,-1.2002,9.864,1.1892,0.1874,0.5834,-0.8496,-0.0733,3.4913,8.4889,-0.4064,0.9187,0.6785,-0.2485,-4.2287,7.353,-0.764013,0,1698371511,48
