right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_shoulder_ang_x,right_shoulder_ang_y,right_shoulder_ang_z,right_shoulder_acc_x,right_shoulder_acc_y,right_shoulder_acc_z,left_shoulder_ang_x,left_shoulder_ang_y,left_shoulder_ang_z,left_shoulder_acc_x,left_shoulder_acc_y,left_shoulder_acc_z,,,,Label
-0.5507,-1.0351,0.0235,1.2646,-0.9329,2.6833,2.4884,2.2374,7.9224,1.5062,1.722,2.5116,-3.0252,-0.0684,2.5886,6.8334,1.9404,1.1089,-3.4185,1.3693,-2.6184,5.539,0.934137,0,1698374923,0
-0.5503,-0.7713,0.0339,1.1741,-1.2595,3.2025,1.9598,1.9388,8.1976,0.9518,1.7385,2.2207,-2.8786,-0.0745,2.7065,7.1241,1.8072,0.3609,-3.2343,1.4829,-2.6665,5.6967,0.948842,0,1698374923,1
-0.5478,-0.5422,0.044,1.1476,-1.4945,3.9066,1.4725,1.5936,8.3704,0.5575,1.7156,2.0041,-2.7622,-0.0563,2.8367,7.4352,1.8128,-0.5362,-3.07,1.6238,-2.7646,5.8785,0.960264,0,1698374923,2
-0.5432,-0.2941,0.054,1.1522,-1.8133,4.6895,0.9466,1.6946,8.7989,0.228,1.6475,1.8528,-2.6564,-0.0242,2.9468,7.7479,1.7456,-0.9808,-2.9176,1.798,-2.9089,6.1314,0.969136,0,1698374923,3
-0.5338,-0.0036,0.0643,1.126,-1.9229,4.9798,0.3855,1.6637,8.874,0.1346,1.518,1.6527,-2.5282,0.0087,3.0212,8.0362,1.4633,-0.9963,-2.7925,1.9728,-3.06,6.4057,0.976027,0,1698374923,4
-0.5187,0.3752,0.0749,1.094,-1.7651,4.9215,-0.1841,1.2019,8.3468,0.0305,1.3619,1.4402,-2.3605,0.0241,3.0919,8.2954,1.2218,-0.9283,-2.7131,2.119,-3.2031,6.6537,0.981379,0,1698374923,5
-0.5003,0.7609,0.086,1.1101,-1.4568,4.9051,-0.7611,0.9065,8.0004,-0.0905,1.2109,1.2615,-2.1177,0.003,3.1546,8.5644,0.9627,-0.9044,-2.718,2.2256,-3.3393,6.9153,0.985537,0,1698374923,6
-0.4796,1.0543,0.0985,1.1972,-0.8543,4.774,-1.28,0.5171,8.0601,-0.105,1.0757,1.1014,-1.8252,-0.072,3.2217,8.8505,0.6669,-1.0938,-2.7959,2.2905,-3.4716,7.1711,0.988766,0,1698374923,7
-0.4576,1.3307,0.1123,1.3202,0.0985,4.6653,-1.6073,0.2338,8.1642,-0.3679,0.9605,0.9131,-1.5153,-0.1954,3.2955,9.1436,0.3663,-1.2588,-2.8522,2.3479,-3.6315,7.4511,0.991274,0,1698374923,8
-0.4363,1.4782,0.1266,1.3791,0.9443,4.6713,-1.7447,0.0327,8.2993,-0.7118,0.8675,0.6399,-1.1954,-0.3734,3.3667,9.4341,0.1005,-1.3332,-2.8643,2.3996,-3.8006,7.7776,0.993222,0,1698374923,8
