"q","lin_acc_x","lin_acc_y","lin_acc_z","ang_vel_x","ang_vel_y","ang_vel_z","Label"
"-0.218379","2.330312","-2.356714","-8.333872","0.094035","-0.136074","0.316177","1"
"-0.236386","2.051322","-2.120343","-8.320272","0.025015","-0.105331","0.407674","1"
"-0.255542","1.835566","-1.591596","-8.493855","-0.046798","-0.099702","0.456653","2"
"-0.271633","1.496186","-1.147758","-8.857486","-0.075519","-0.146032","0.462471","3"
"-0.280445","1.135402","-0.837404","-9.118114","-0.080458","-0.196955","0.429224","4"
"-0.293854","0.447343","-0.486049","-9.519121","-0.06262","-0.260023","0.359476","4"
"-0.307646","0.412093","-0.545366","-9.734408","-0.019565","-0.311342","0.268273","5"
"-0.320289","-0.099025","-0.138572","-9.694689","0.014075","-0.382568","0.166419","6"
"-0.332166","-0.609874","0.00992","-9.900256","0.079267","-0.414659","0.043272","7"
"-0.343276","-0.90071","0.170067","-9.756726","0.143478","-0.431584","-0.084394","7"
"-0.34979","-1.058481","0.322451","-9.514787","0.219652","-0.42629","-0.190335","8"
"-0.360134","-1.023283","0.298433","-9.132471","0.283903","-0.387923","-0.280377","9"
"-0.370478","-0.851941","-0.096257","-8.738823","0.343712","-0.344911","-0.351732","10"
"-0.380439","-0.561292","-0.270066","-8.429542","0.355458","-0.286917","-0.406466","10"
"-0.389251","-0.104692","-0.778364","-8.321295","0.371356","-0.248102","-0.443466","11"
"-0.392699","0.208424","-1.197509","-8.318202","0.34496","-0.216754","-0.449772","12"
"-0.401511","0.669398","-1.554122","-8.368386","0.319444","-0.200518","-0.43946","13"
"-0.406108","1.009466","-1.899443","-8.417648","0.279298","-0.197645","-0.412445","13"
"-0.411855","1.209546","-2.145615","-8.396862","0.221638","-0.198615","-0.365114","14"
"-0.41492","1.320427","-2.281931","-8.317419","0.18348","-0.238172","-0.303537","15"
"-0.416069","1.191001","-2.24185","-8.250451","0.074717","-0.191088","-0.221246","15"
"-0.417985","1.073844","-2.303786","-8.216174","0.013296","-0.13817","-0.1357","16"
"-0.419518","0.888867","-2.281101","-8.16973","-0.068198","-0.104373","-0.048767","17"
"-0.419901","0.719759","-2.217328","-8.199084","-0.137037","-0.044905","0.034595","18"
"-0.420284","0.623301","-1.964889","-8.221423","-0.204784","0.000179","0.111616","18"
"-0.420284","0.481388","-1.923286","-8.31793","-0.25396","0.032687","0.180073","19"
"-0.419901","0.404627","-1.839601","-8.550046","-0.302089","0.053229","0.245295","20"
"-0.418751","0.27643","-1.719163","-8.768549","-0.331549","0.05667","0.302691","21"
"-0.417602","0.141996","-1.579655","-8.941125","-0.351426","0.056554","0.35145","21"
"-0.416453","0.011929","-1.576536","-9.138312","-0.340516","0.045412","0.386538","22"
"-0.41492","-0.175976","-1.659284","-9.262531","-0.341956","0.044817","0.406123","23"
"-0.414154","-0.450814","-1.735531","-9.214669","-0.345906","0.02598","0.414551","24"
"-0.413004","-0.787313","-1.599836","-9.018148","-0.379909","0.031897","0.415924","24"
"-0.412621","-1.039592","-1.435759","-8.865988","-0.404386","0.036439","0.406369","25"
"-0.412621","-1.19031","-1.362857","-8.841354","-0.429435","0.043658","0.378143","26"
"-0.413388","-1.427996","-0.96086","-8.828646","-0.470744","0.058837","0.345664","26"
"-0.413771","-1.576548","-0.767513","-8.958272","-0.474127","0.068443","0.297237","27"
"-0.41492","-1.636155","-0.692696","-9.249235","-0.471324","0.08569","0.251839","28"
"-0.416069","-1.608963","-0.673863","-9.614173","-0.439191","0.089724","0.20307","29"
"-0.417602","-1.494438","-0.493986","-9.922815","-0.398208","0.086539","0.148198","29"
"-0.419518","-1.371538","-0.507779","-10.194112","-0.336652","0.073629","0.087424","30"
"-0.42105","-1.312499","-0.433261","-10.335179","-0.284418","0.054217","0.030626","31"
"-0.424115","-1.365654","-0.481715","-10.316485","-0.240969","0.024446","-0.020521","32"
"-0.426414","-1.566716","-0.619907","-10.142498","-0.21435","-0.002368","-0.07075","32"
"-0.427946","-1.802495","-0.769619","-9.929958","-0.21217","-0.023627","-0.107752","33"
"-0.429479","-1.896626","-0.940456","-9.77553","-0.215569","-0.044285","-0.139824","34"
"-0.429862","-2.023119","-0.98878","-9.689495","-0.231502","-0.075031","-0.170987","35"
"-0.431011","-2.173596","-1.09946","-9.664733","-0.234761","-0.091332","-0.205654","35"
"-0.432161","-2.291241","-1.24008","-9.724773","-0.274826","-0.095175","-0.247892","36"
"-0.432161","-2.496225","-1.258431","-9.791955","-0.297891","-0.099917","-0.283801","37"
"-0.430628","-2.733325","-1.615486","-10.064169","-0.324142","-0.079239","-0.309245","38"
"-0.427563","-2.721069","-1.804522","-10.519802","-0.380265","-0.060159","-0.327054","38"
"-0.424881","-2.535975","-1.386883","-10.983302","-0.456685","-0.05127","-0.347263","39"
"-0.417602","-2.072765","-0.778163","-11.694945","-0.502455","-0.019341","-0.392907","40"
"-0.413388","-1.37849","0.225312","-12.680013","-0.491959","0.051022","-0.466693","40"
"-0.411089","0.208176","0.281432","-14.238348","-0.377994","0.170325","-0.55075","41"
"-0.40994","1.430916","0.862857","-15.642857","-0.272552","0.23938","-0.580886","42"
"-0.40879","3.237734","2.488648","-16.704525","-0.134423","0.315148","-0.525695","43"
"-0.405342","4.493063","3.076502","-16.787271","0.184026","0.256839","-0.42319","43"
"-0.395381","4.561374","2.788178","-14.671762","0.340344","0.166268","-0.309284","44"
"-0.381589","3.974978","1.252881","-12.131667","0.474085","0.002586","-0.228913","45"
"-0.364348","3.146644","-0.681683","-9.663139","0.351845","-0.154074","-0.160634","46"
"-0.355153","1.398564","-1.273142","-7.097515","0.080059","-0.269013","-0.108983","46"
"-0.335231","1.138953","-1.209645","-5.97314","-0.14078","-0.169596","-0.079958","47"
"-0.318374","1.071389","-0.911387","-5.589958","-0.245182","-0.163048","-0.058862","48"
"-0.303815","1.115732","-0.461709","-5.925272","-0.307084","-0.122292","-0.088295","49"
"-0.290023","1.147544","0.32","-6.429889","-0.376265","-0.042483","-0.139472","49"
"-0.279295","0.989603","1.021026","-7.164227","-0.410358","0.076447","-0.194968","50"
"-0.272782","1.282979","1.469982","-8.125993","-0.366095","0.167995","-0.229467","51"
"-0.26397","1.60723","1.815484","-9.02325","-0.31257","0.246144","-0.228359","51"
"-0.255542","1.806497","1.850793","-9.631884","-0.225311","0.304055","-0.199801","52"
