Time,q,qdot,pelv_gyro_x,pelv_gyro_y,pelv_gyro_z,pelv_acc_x,pelv_acc_y,pelv_acc_z,leg_gyro_x,leg_gyro_y,leg_gyro_z,leg_acc_x,leg_acc_y,leg_acc_z,Label
59,-0.0249272,-0.492188,0.127663,0.10029,-0.888216,0.416583,7.32891,0.202535,0.0777799,0.116396,-0.405139,-0.851513,6.82849,-0.686189,0
69,-0.0214758,-0.296875,0.185711,0.0598583,-0.870019,0.360525,8.13452,0.356265,0.0739731,0.0463463,-0.599507,-0.330488,7.32549,-0.972716,1
80,-0.0118884,1.44531,0.234198,0.0164557,-0.802497,0.460448,8.74684,0.471358,0.0917232,-0.0103157,-0.790257,0.662768,8.37762,-0.969719,2
89,-0.00613594,0.40625,0.279838,-0.0283343,-0.71439,0.678033,9.13801,0.216618,0.129571,-0.0652153,-0.911106,2.6441,9.78528,-0.815361,3
99,-0.00383496,0.203125,0.330627,-0.0606321,-0.63198,0.895269,9.47037,-0.289978,0.188663,-0.143399,-0.895178,5.42831,10.5849,-1.08707,4
109,-0.00498545,-1.53906,0.389429,-0.0697029,-0.542656,0.947355,10.2257,-0.597052,0.275108,-0.300617,-0.736407,8.58302,10.8618,-1.54606,4
119,-0.00651943,0.640625,0.389429,-0.0697029,-0.542656,0.947355,10.2257,-0.597052,0.275108,-0.300617,-0.736407,8.58302,10.8618,-1.54606,5
129,-0.0118884,-0.21875,0.437273,-0.0504803,-0.42143,0.901166,11.5559,-0.587538,0.380563,-0.496508,-0.47535,11.6666,11.1907,-1.49079,6
139,-0.0249272,-1.25781,0.434809,-0.000220871,-0.28429,0.837302,13.0581,-0.434958,0.473534,-0.551633,-0.166107,13.7159,11.698,-0.787144,7
149,-0.0371991,-1.89062,0.36915,0.0641183,-0.148061,0.844673,14.285,-0.361707,0.519578,-0.450637,0.137013,13.8082,12.243,0.0979397,8
159,-0.054073,-1.36719,0.266405,0.11744,-0.000695992,1.17777,14.8186,-0.521907,0.498426,-0.315275,0.372346,12.3365,12.3805,0.975908,9
170,-0.0663448,-0.65625,0.144467,0.151952,0.13816,1.69683,14.4932,-0.661333,0.426142,-0.185903,0.501549,10.1069,11.9511,1.89468,10
179,-0.0674953,0.257812,0.00973348,0.166349,0.228587,2.04348,13.6283,-0.41695,0.329023,-0.0732493,0.525775,7.50409,11.3017,2.57119,11
190,-0.0667283,0.015625,-0.11618,0.162466,0.266858,2.18033,12.7208,0.0962078,0.329023,-0.0732493,0.525775,7.50409,11.3017,2.57119,12
199,-0.0636604,0.75,-0.11618,0.162466,0.266858,2.18033,12.7208,0.0962078,0.222576,0.00618691,0.468566,5.13607,10.8013,2.77618,13
210,-0.0609759,0.632812,-0.209016,0.155013,0.266308,2.20457,12.0686,0.483674,0.12618,0.0709949,0.36458,3.26249,10.5767,2.163,13
219,-0.049471,1.67188,-0.254378,0.159827,0.232787,2.05895,11.8053,0.540357,0.0763896,0.142699,0.249813,2.12247,10.3736,0.510532,14
229,-0.0383496,0.296875,-0.254261,0.19125,0.157117,1.43224,11.9923,0.602676,0.13516,0.22233,0.148341,1.97308,10.1963,-2.11259,15
239,-0.0364321,-0.101562,-0.21624,0.246784,0.0369307,0.161432,12.6038,0.787576,0.298316,0.296383,0.0383342,2.71648,10.6525,-5.10884,16
249,-0.0406506,-0.53125,-0.144333,0.295472,-0.0820899,-1.43354,13.6824,0.505897,0.48822,0.33238,-0.0679375,4.81954,12.0948,-6.39343,17
260,-0.0506215,-1.92969,-0.0721785,0.322732,-0.148321,-2.93705,15.1901,-0.376546,0.638312,0.353317,-0.0998388,7.07203,14.1365,-4.95396,18
269,-0.0625099,-1.75,-0.0721785,0.322732,-0.148321,-2.93705,15.1901,-0.376546,0.638312,0.353317,-0.0998388,7.07203,14.1365,-4.95396,19
280,-0.0644273,1.17969,-0.0491287,0.338384,-0.141386,-3.81515,16.3799,-1.47907,0.695685,0.421936,-0.0658394,6.80967,15.5288,-2.25671,20
289,-0.0605924,0.171875,-0.103157,0.346585,-0.0759942,-3.71322,16.0416,-2.35439,0.661871,0.573516,-0.0441953,3.72333,15.1246,0.275666,21
299,-0.048704,2.51562,-0.239314,0.357819,-0.0228716,-3.10409,13.8244,-2.30614,0.568237,0.769921,-0.102854,-0.851807,13.2809,1.92403,21
309,-0.0164903,4.65625,-0.404008,0.375282,-0.0335708,-1.93307,10.1778,-1.80755,0.395349,0.922849,-0.290249,-5.66298,11.1336,2.75577,22
319,0.0371991,7.74219,-0.497293,0.381724,-0.0957238,-0.216557,6.48217,-2.03245,0.142424,1.02367,-0.599473,-8.94849,9.28007,2.83637,23
329,0.104311,5.75781,-0.477486,0.38534,-0.182119,0.829367,4.59539,-2.47474,-0.1158,1.14368,-0.931265,-9.22351,7.86102,1.58045,24
339,0.181777,10.0938,-0.477486,0.38534,-0.182119,0.829367,4.59539,-2.47474,-0.1158,1.14368,-0.931265,-9.22351,7.86102,1.58045,25
349,0.261928,7.15625,-0.382386,0.419337,-0.260584,0.889411,4.63418,-2.24275,-0.305289,1.39426,-1.18887,-7.04984,7.02983,-0.830399,26
359,0.343229,8.96875,-0.259728,0.491959,-0.310586,0.46787,5.68285,-1.57647,-0.371077,1.75859,-1.3572,-3.84008,6.95154,-3.36786,27
369,0.421462,9.78906,-0.138283,0.579813,-0.334162,-0.225836,7.19166,-1.13308,-0.287318,2.02563,-1.44112,-0.711903,7.63064,-4.96357,28
379,0.500079,7.30469,-0.0361937,0.65424,-0.342974,-1.0323,8.7383,-1.12856,-0.1005,2.06679,-1.44762,1.23121,8.85631,-5.24591,29
389,0.576011,10.1797,0.0348528,0.684457,-0.349489,-1.82803,10.0101,-1.32458,0.13704,1.91773,-1.4032,1.65039,10.2047,-4.65387,29
399,0.652327,7.78125,0.0725579,0.644674,-0.356838,-2.5731,10.8418,-1.50148,0.368273,1.60541,-1.33466,1.20635,11.2218,-3.71535,30
409,0.732861,8.92188,0.0872966,0.534406,-0.359467,-3.20294,11.0812,-1.61135,0.499721,1.1538,-1.26135,0.562303,11.6143,-2.77866,31
419,0.814929,9.82812,0.0872966,0.534406,-0.359467,-3.20294,11.0812,-1.61135,0.499721,1.1538,-1.26135,0.562303,11.6143,-2.77866,32
429,0.901599,6.67188,0.0956509,0.378636,-0.348922,-3.57708,10.7181,-1.66198,0.503014,0.687101,-1.19324,0.0490594,11.317,-2.06628,33
439,0.987119,8.17969,0.107734,0.212088,-0.322367,-3.59596,9.97521,-1.58306,0.433256,0.318787,-1.1323,-0.045484,10.49,-1.61268,34
449,1.07494,9.23438,0.123641,0.0615297,-0.28188,-3.26395,9.0591,-1.35898,0.349955,0.0651582,-1.09242,0.131036,9.40697,-1.37994,35
462,1.16391,11.0234,0.142183,-0.0617197,-0.232376,-2.7329,8.17268,-1.06844,0.277373,-0.0970131,-1.07274,0.367945,8.39603,-1.40244,36
469,1.25518,9.01562,0.163656,-0.156779,-0.181687,-2.14422,7.55781,-0.85891,0.229646,-0.202963,-1.04869,0.829568,7.71711,-1.50609,37
479,1.3453,8.72656,0.186236,-0.224142,-0.13863,-1.55452,7.32832,-0.818733,0.221063,-0.29764,-1.02177,1.61101,7.44174,-1.55754,38
489,1.43964,8.46094,0.186236,-0.224142,-0.13863,-1.55452,7.32832,-0.818733,0.221063,-0.29764,-1.02177,1.61101,7.44174,-1.55754,38
499,1.52938,11.0234,0.20734,-0.266273,-0.107153,-1.02963,7.44491,-0.893857,0.24359,-0.395901,-1.00403,2.35321,7.48671,-1.62987,39
509,1.62104,7.96094,0.223525,-0.287411,-0.0876803,-0.649218,7.7759,-0.952438,0.30874,-0.510424,-0.990461,2.40211,7.6904,-1.77555,40
519,1.71384,11.2734,0.232665,-0.294404,-0.081312,-0.373638,8.07316,-0.967815,0.426939,-0.667651,-0.955718,1.72681,7.92338,-2.0649,41
529,1.80972,10.1172,0.235964,-0.297338,-0.0861424,-0.133691,8.27273,-0.975189,0.538155,-0.814867,-0.901918,0.999247,8.17528,-2.34652,42
539,1.90214,12.1172,0.233947,-0.300132,-0.104753,0.0253593,8.47966,-0.965378,0.587514,-0.921302,-0.873704,0.542883,8.44551,-2.50196,43
549,1.99878,7.49219,0.225878,-0.300722,-0.139534,0.126554,8.66753,-0.999488,0.579992,-1.01866,-0.893214,0.284929,8.67251,-2.48859,44
560,2.09772,9.72656,0.210351,-0.297987,-0.186174,0.252142,8.80561,-1.06486,0.531329,-1.09226,-0.966111,0.122249,8.77844,-2.29337,45
569,2.19552,8,0.210351,-0.297987,-0.186174,0.252142,8.80561,-1.06486,0.531329,-1.09226,-0.966111,0.122249,8.77844,-2.29337,46
