right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_back_ang_x,right_back_ang_y,right_back_ang_z,right_back_acc_x,right_back_acc_y,right_back_acc_z,left_back_ang_x,left_back_ang_y,left_back_ang_z,left_back_acc_x,left_back_acc_y,left_back_acc_z,,,,Label
-0.2798,-0.1029,-0.0185,0.2801,-1.0488,-0.2831,-0.3572,0.3719,9.5894,0.9101,-0.1406,0.579,-0.1613,9.0898,-1.9942,3.8158,0.7818,1.2652,-0.117,9.6066,-1.7705,1.7659,-0.988476,0,1698651635.686,0
-0.2798,-0.0748,-0.0149,0.3022,-1.0913,-0.2376,-0.3622,0.4746,9.448,0.8522,-0.0363,0.5466,-0.1982,9.0793,-2.0041,3.7718,0.8519,1.043,-0.1527,9.5676,-1.7607,1.7281,-0.981878,0,1698651635.6957,1
-0.2798,-0.0664,-0.011,0.3415,-1.0885,-0.1314,-0.3268,0.5488,9.3953,0.7926,0.0899,0.4694,-0.2175,9.0434,-2.0245,3.7379,0.8466,0.8006,-0.2179,9.5151,-1.7646,1.6956,-0.966423,0,1698651635.7053,1
-0.2797,-0.061,-0.0077,0.3578,-1.0625,-0.0124,-0.3027,0.5727,9.5306,0.7859,0.2152,0.377,-0.2291,9.0609,-2.0469,3.7413,0.8213,0.6319,-0.2796,9.5144,-1.7671,1.7249,-0.936097,0,1698651635.7157,2
-0.2796,-0.0424,-0.0052,0.3299,-1.0534,0.1091,-0.3198,0.6352,9.6292,0.7986,0.3816,0.3241,-0.2142,9.1119,-2.0701,3.7837,0.8808,0.5384,-0.3106,9.5342,-1.7923,1.7677,-0.880205,0,1698651635.7254,3
-0.2795,-0.0366,-0.003,0.3034,-1.1103,0.2648,-0.3586,0.8127,9.535,0.8429,0.5526,0.3809,-0.1856,9.1269,-2.0953,3.8551,0.9689,0.4231,-0.326,9.5301,-1.8375,1.7517,-0.775135,0,1698651635.7353,3
-0.2795,-0.0435,-0.0009,0.2906,-1.2021,0.4044,-0.4041,0.9902,9.5228,0.8452,0.6973,0.4805,-0.1498,9.1333,-2.1261,3.8996,1.0108,0.2518,-0.35,9.5162,-1.8796,1.7402,-0.654732,0,1698651635.7458,4
-0.2794,-0.0508,0.0015,0.3094,-1.2215,0.5231,-0.4514,1.0022,9.5791,0.8193,0.8574,0.493,-0.0785,9.1444,-2.1595,3.9005,0.9522,0.1324,-0.4112,9.4901,-1.8941,1.7362,-0.579543,0,1698651635.7557,5
-0.2793,-0.0278,0.0044,0.3223,-1.1377,0.7125,-0.4907,0.9645,9.5621,0.7849,1.05,0.34,0.0425,9.1284,-2.1883,3.878,0.7899,0.2739,-0.5142,9.4242,-1.8821,1.7364,-0.535251,0,1698651635.7655,5
-0.2792,0.0007,0.0073,0.2915,-1.0249,0.9661,-0.5135,1.0068,9.5019,0.7492,1.2311,0.1138,0.1834,9.0791,-2.2021,3.865,0.6886,0.4862,-0.5771,9.3521,-1.8843,1.717,-0.445952,0,1698651635.7756,6
-0.279,0.0133,0.0097,0.2656,-0.8904,1.1997,-0.5245,1.0268,9.5216,0.7698,1.3641,0.0182,0.2885,9.0659,-2.2003,3.8606,0.6474,0.5862,-0.5723,9.3675,-1.8801,1.7279,-0.246354,0,1698651635.7861,7
-0.2781,0.0339,0.0111,0.2345,-0.8865,1.3863,-0.5994,0.9673,9.5776,0.8098,1.4912,0.1638,0.3386,9.1313,-2.2077,3.887,0.8284,0.7799,-0.5046,9.4557,-1.9055,1.8136,0.005783,0,1698651635.7958,7
-0.2765,0.0667,0.0116,0.1856,-1.1024,1.5159,-0.7326,1.0074,9.7096,0.7851,1.6369,0.4055,0.3605,9.1882,-2.2011,3.9001,1.3006,0.9959,-0.3958,9.5201,-1.9153,1.8799,0.223917,0,1698651635.806,8
-0.2746,0.1042,0.0117,0.1441,-1.2497,1.5807,-0.837,0.8979,9.8682,0.702,1.7577,0.5482,0.3631,9.1606,-2.1653,3.8515,1.7491,1.0214,-0.2892,9.5314,-1.8635,1.9036,0.396798,0,1698651635.8159,9
-0.2726,0.1338,0.0122,0.1318,-1.2517,1.6823,-0.8822,0.6643,9.8837,0.5736,1.8583,0.5158,0.3531,9.0798,-2.1428,3.7982,2.0702,0.8665,-0.2003,9.5012,-1.8234,1.9078,0.531459,0,1698651635.8253,9
-0.2707,0.1631,0.0134,0.1402,-1.1458,1.8378,-0.8372,0.551,9.6798,0.5358,1.9706,0.2989,0.3394,9.0231,-2.1195,3.7311,2.2651,0.5859,-0.1476,9.4443,-1.7972,1.9039,0.636035,0,1698651635.8356,10
-0.269,0.1884,0.0153,0.1667,-0.9843,1.9748,-0.7495,0.4828,9.3995,0.6147,2.0918,-0.0443,0.3202,8.9971,-2.0856,3.7103,2.3329,0.2649,-0.1262,9.4223,-1.7596,1.9187,0.717204,0,1698651635.8454,11
-0.2675,0.1925,0.0174,0.2009,-0.789,2.0659,-0.6549,0.3651,9.3823,0.6202,2.1809,-0.402,0.3079,8.9586,-2.0625,3.7527,2.3362,-0.0492,-0.1342,9.4634,-1.722,1.9412,0.780197,0,1698651635.8552,11
-0.2661,0.187,0.0196,0.208,-0.6074,2.1494,-0.5703,0.2216,9.4002,0.6068,2.216,-0.6969,0.2804,8.9761,-2.0245,3.791,2.2859,-0.392,-0.1507,9.5366,-1.6723,1.9509,0.828655,0,1698651635.8655,12
-0.2644,0.1745,0.022,0.2137,-0.5346,2.2322,-0.5013,0.213,9.3456,0.6065,2.2646,-0.9447,0.2258,9.0666,-1.9514,3.8364,2.1769,-0.8194,-0.1678,9.6385,-1.6211,1.9352,0.858639,0,1698651635.8754,13
-0.2621,0.1831,0.0243,0.2148,-0.4618,2.2232,-0.422,0.2151,9.4289,0.6245,2.3279,-1.1457,0.1698,9.1693,-1.87,3.9081,2.0446,-1.326,-0.2041,9.7616,-1.5851,1.8832,0.880191,0,1698651635.8855,13
-0.2586,0.2238,0.026,0.2009,-0.3201,2.1804,-0.3383,0.1687,9.5908,0.6981,2.372,-1.2601,0.1203,9.283,-1.8111,3.9833,1.8813,-1.7826,-0.2485,9.8823,-1.5461,1.8244,0.904058,0,1698651635.895,14
-0.2544,0.2626,0.0275,0.1801,-0.1708,2.2239,-0.2444,0.1027,9.8091,0.7253,2.4232,-1.2867,0.0725,9.4068,-1.7685,4.058,1.7067,-2.075,-0.2795,10.0001,-1.499,1.8062,0.924612,0,1698651635.9049,15
-0.2501,0.2914,0.0285,0.1481,-0.1077,2.3335,-0.1262,0.1103,10.1278,0.6622,2.4784,-1.2256,0.0183,9.545,-1.7318,4.1599,1.5942,-2.1845,-0.2917,10.1538,-1.4606,1.8282,0.941111,0,1698651635.9151,15
-0.2458,0.3295,0.029,0.125,-0.0817,2.3939,0.0048,0.0827,10.4069,0.7196,2.5323,-1.0954,-0.0485,9.7084,-1.6869,4.2804,1.5212,-2.1529,-0.2833,10.3457,-1.4262,1.8498,0.954157,0,1698651635.9249,16
-0.241,0.3606,0.0291,0.1136,-0.07,2.3854,0.1116,-0.024,10.479,0.9264,2.5887,-1.0242,-0.108,9.8503,-1.6175,4.4109,1.5489,-2.0482,-0.2802,10.5201,-1.3634,1.8743,0.964279,0,1698651635.9355,17
-0.2355,0.4105,0.0289,0.08,-0.0976,2.3772,0.2065,-0.1966,10.5631,1.0699,2.6282,-1.0097,-0.1653,9.9787,-1.5035,4.5102,1.7153,-2.0273,-0.288,10.6356,-1.2638,1.8848,0.971967,0,1698651635.9454,17
-0.23,0.449,0.0288,0.0289,-0.1164,2.3366,0.3067,-0.4382,10.7544,1.1403,2.6248,-0.9985,-0.238,10.0718,-1.3586,4.619,1.7772,-1.9907,-0.3272,10.741,-1.1175,1.9063,0.9772,0,1698651635.9554,18
-0.2256,0.4196,0.0286,0.0022,-0.1328,2.2421,0.4135,-0.6183,10.8925,1.2695,2.531,-0.9412,-0.3447,10.1283,-1.1987,4.7696,1.6498,-1.8839,-0.3893,10.8643,-0.9315,1.9449,0.973029,0,1698651635.9659,19
-0.2221,0.3934,0.0278,-0.0102,-0.1651,2.1576,0.5058,-0.6906,10.8356,1.4617,2.3627,-0.843,-0.4864,10.1455,-1.0355,4.9155,1.3445,-2.0966,-0.4741,10.9411,-0.7439,1.9881,0.944711,0,1698651635.976,19
