right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_back_ang_x,right_back_ang_y,right_back_ang_z,right_back_acc_x,right_back_acc_y,right_back_acc_z,left_back_ang_x,left_back_ang_y,left_back_ang_z,left_back_acc_x,left_back_acc_y,left_back_acc_z,,,,Label
-0.2705,-0.0834,-0.002,0.0219,-0.6208,-0.2104,0.88,0.6576,10.1654,0.2432,0.1633,1.2331,-0.4885,8.5434,-1.2729,5.3581,-1.4861,0.9368,-0.6632,9.4019,-1.2212,2.95,-0.999635,0,1698648003.8296,0
-0.2705,-0.0741,-0.002,0.0317,-0.5637,-0.1666,0.8025,0.7383,10.2308,0.1926,0.3583,1.3367,-0.4814,8.4935,-1.3262,5.3918,-1.4576,0.753,-0.692,9.3281,-1.2924,2.9641,-0.999717,0,1698648003.8406,1
-0.2705,-0.0534,-0.002,0.0419,-0.5492,-0.1275,0.7185,0.776,10.2546,0.1947,0.5311,1.4401,-0.48,8.4694,-1.37,5.426,-1.3946,0.6367,-0.7058,9.2692,-1.38,2.9767,-0.99978,0,1698648003.8509,1
-0.2705,-0.03,-0.002,0.0282,-0.7808,-0.0954,0.6208,0.7736,10.2146,0.2509,0.6567,1.4557,-0.4492,8.4782,-1.4222,5.4381,-1.2868,0.583,-0.7029,9.2136,-1.4582,2.9931,-0.999829,0,1698648003.8605,2
-0.2705,-0.0127,-0.002,0.0262,-0.9701,-0.0491,0.5126,0.7548,10.1273,0.3093,0.722,1.3809,-0.4108,8.507,-1.4836,5.4267,-1.1392,0.5677,-0.6862,9.1827,-1.5147,3.0176,-0.999867,0,1698648003.8714,2
-0.2705,0.0004,-0.002,0.0389,-1.1163,-0.0124,0.4055,0.7242,10.0345,0.3589,0.7854,1.3586,-0.4295,8.5077,-1.5374,5.4189,-0.9632,0.5678,-0.6545,9.1683,-1.5607,3.039,-0.999896,0,1698648003.8816,3
-0.2705,0.0056,-0.002,0.0295,-1.2196,0.0128,0.3087,0.6972,9.9559,0.3985,0.8381,1.3507,-0.4832,8.4986,-1.5632,5.4163,-0.7686,0.5891,-0.6017,9.159,-1.5828,3.049,-0.999917,0,1698648003.8924,3
-0.2703,0.0055,-0.002,0.0063,-1.3961,0.0647,0.2079,0.6765,10.0729,0.3675,0.8594,1.3181,-0.5522,8.4865,-1.5519,5.4119,-0.5705,0.6356,-0.5411,9.163,-1.5986,3.0784,-0.99992,0,1698648003.9026,4
-0.2702,0.0059,-0.0021,-0.0112,-1.529,0.0914,0.116,0.5955,10.1346,0.3153,0.8547,1.2961,-0.645,8.4605,-1.5242,5.4138,-0.3885,0.6878,-0.4847,9.1701,-1.5957,3.1119,-0.999815,0,1698648003.9128,5
-0.2701,0.0052,-0.0021,0.0021,-1.5146,0.0704,0.0429,0.4796,9.9594,0.3112,0.845,1.2859,-0.758,8.4168,-1.4714,5.4273,-0.2395,0.7105,-0.4417,9.1863,-1.5589,3.1417,-0.99922,0,1698648003.923,5
-0.27,0.0042,-0.0021,0.0307,-1.4974,0.0617,-0.0189,0.399,9.7851,0.3259,0.8248,1.255,-0.8815,8.3644,-1.3844,5.4295,-0.1263,0.711,-0.4202,9.2141,-1.5068,3.1707,-0.997252,0,1698648003.9326,6
-0.27,-0.0029,-0.0021,0.0273,-1.4901,0.0405,-0.0755,0.3396,9.6695,0.3405,0.7766,1.2003,-1.009,8.3272,-1.3038,5.4224,-0.0512,0.7464,-0.4163,9.2475,-1.4359,3.1836,-0.994049,0,1698648003.9428,6
-0.2699,-0.0084,-0.0021,0.0179,-1.4895,0.0112,-0.1331,0.3113,9.6441,0.3152,0.6949,1.1271,-1.1345,8.2905,-1.2427,5.4292,0.014,0.7875,-0.4253,9.2705,-1.3832,3.1862,-0.9905,0,1698648003.9526,7
-0.2698,-0.0149,-0.0021,0.01,-1.4967,-0.0106,-0.1847,0.3263,9.6604,0.2421,0.6306,1.0456,-1.249,8.2535,-1.1958,5.4553,0.0953,0.8399,-0.4552,9.2769,-1.3832,3.1857,-0.986817,0,1698648003.9621,7
-0.2697,-0.02,-0.0021,-0.0071,-1.4886,-0.037,-0.2332,0.3598,9.6846,0.2028,0.6045,0.9746,-1.3473,8.2271,-1.1634,5.4694,0.1312,0.9514,-0.5066,9.2628,-1.3851,3.1908,-0.983443,0,1698648003.9721,8
