right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_back_ang_x,right_back_ang_y,right_back_ang_z,right_back_acc_x,right_back_acc_y,right_back_acc_z,left_back_ang_x,left_back_ang_y,left_back_ang_z,left_back_acc_x,left_back_acc_y,left_back_acc_z,,,,Label
-0.3925,-0.2394,-0.0417,-0.0079,-1.2243,-0.2406,0.729,0.9155,9.971,1.4233,-0.9818,1.1596,0.0181,9.733,-3.117,1.2224,-2.1924,0.2068,0.2223,10.2943,-1.0202,0.5918,-0.999455,0,1698374128.3359,0
-0.3925,-0.184,-0.0417,0.0072,-1.2489,-0.2335,0.7048,0.8886,9.8289,1.426,-1.0313,1.2327,-0.0035,9.6401,-3.052,1.1189,-2.1579,0.1715,0.1458,10.1937,-1.0063,0.5356,-0.999505,0,1698374128.3459,1
-0.3925,-0.1411,-0.0417,0.0185,-1.2988,-0.2519,0.6409,0.8572,9.7395,1.3957,-0.9906,1.287,-0.0526,9.5268,-3.0165,1.1054,-2.0425,0.1169,0.0762,10.0848,-1.0007,0.4772,-0.999525,0,1698374128.356,1
-0.3924,-0.1093,-0.0417,0.0273,-1.3554,-0.2934,0.5324,0.8815,9.7381,1.3898,-0.8286,1.4237,-0.0942,9.3968,-3.0258,1.0965,-1.8301,0.0804,-0.001,9.966,-1.015,0.4415,-0.999488,0,1698374128.3661,2
-0.3924,-0.0845,-0.0417,0.027,-1.4036,-0.3521,0.3877,0.9648,9.7003,1.3935,-0.8058,1.6287,-0.1248,9.2838,-3.0242,1.0778,-1.5075,0.1398,-0.0805,9.8636,-1.0563,0.4338,-0.999237,0,1698374128.3762,3
-0.3923,-0.0617,-0.0417,0.0235,-1.424,-0.4087,0.2522,1.0255,9.5485,1.3544,-0.8972,1.6925,-0.1656,9.145,-3.0545,1.1119,-1.0865,0.3266,-0.1473,9.7723,-1.1068,0.4444,-0.998696,0,1698374128.3863,4
-0.3921,-0.0401,-0.0417,0.0275,-1.4594,-0.457,0.13,1.0125,9.4481,1.4497,-0.9069,1.599,-0.2169,9.0463,-3.1024,1.0465,-0.6777,0.6004,-0.2001,9.7013,-1.1682,0.4558,-0.99813,0,1698374128.3962,4
-0.3921,-0.0225,-0.0417,0.0366,-1.5057,-0.4792,0.0129,1.019,9.3751,1.6092,-0.7959,1.4453,-0.2746,9.0089,-3.1422,1.0224,-0.3406,0.9289,-0.2394,9.6481,-1.2333,0.4759,-0.997896,0,1698374128.4063,5
-0.392,-0.0128,-0.0417,0.0167,-1.5417,-0.2509,-0.0909,1.0969,9.2476,1.6805,-0.5776,1.2637,-0.3408,8.9815,-3.1975,1.1311,-0.054,1.288,-0.2614,9.6135,-1.29,0.5054,-0.997964,0,1698374128.416,6
-0.392,-0.0088,-0.0417,-0.0159,-1.6079,-0.0353,-0.1919,1.1952,9.214,1.6754,-0.3595,1.1713,-0.4092,8.9559,-3.2477,1.23,0.1678,1.6659,-0.2794,9.5914,-1.3421,0.5548,-0.998053,0,1698374128.4256,6
-0.3917,0.0074,-0.0417,-0.0098,-1.7123,-0.0332,-0.2917,1.2935,9.3897,1.6231,-0.139,1.1216,-0.493,8.9528,-3.2388,1.2911,0.3494,2.0471,-0.3044,9.5734,-1.3657,0.5988,-0.998076,0,1698374128.4359,7
-0.3906,0.0401,-0.0417,0.0211,-1.8828,0.0051,-0.4161,1.3449,9.8242,1.4256,0.1371,1.0277,-0.5922,8.9457,-3.219,1.3736,0.5143,2.4003,-0.3417,9.5541,-1.373,0.6383,-0.998037,0,1698374128.4462,8
-0.388,0.1002,-0.0417,0.0315,-1.8874,0.0545,-0.5433,1.3867,9.876,1.1787,0.4002,0.8899,-0.6786,8.9029,-3.2564,1.4018,0.6858,2.6891,-0.3971,9.5372,-1.3977,0.6757,-0.997707,0,1698374128.4561,9
-0.3846,0.1571,-0.0417,0.0261,-1.9455,0.1124,-0.6516,1.3946,9.4036,1.1611,0.6011,0.6594,-0.7441,8.8438,-3.3035,1.3609,0.8762,2.8811,-0.4725,9.5279,-1.4217,0.7164,-0.996277,0,1698374128.4678,9
-0.3806,0.1866,-0.0415,0.0229,-2.0298,0.2273,-0.7774,1.4564,9.1807,1.2437,0.7537,0.3704,-0.8043,8.8121,-3.3335,1.3334,1.0334,2.9552,-0.5669,9.5401,-1.4342,0.7628,-0.992493,0,1698374128.4764,10
-0.3768,0.2179,-0.0413,0.0268,-1.8294,0.337,-0.9331,1.5538,9.2853,1.3364,0.8808,0.1314,-0.857,8.823,-3.345,1.373,1.1479,2.9131,-0.6641,9.5694,-1.4399,0.7785,-0.983711,0,1698374128.4861,11
-0.3733,0.2526,-0.0411,0.029,-1.5792,0.4077,-1.0915,1.5768,9.3662,1.3692,1.0324,-0.0389,-0.9124,8.8614,-3.3288,1.4511,1.2257,2.7755,-0.7685,9.6095,-1.4259,0.7883,-0.964684,0,1698374128.4965,11
-0.369,0.292,-0.0409,0.0243,-1.3005,0.4865,-1.2273,1.5521,9.2522,1.227,1.2234,-0.1805,-0.981,8.8987,-3.2871,1.5301,1.2393,2.5775,-0.8871,9.6548,-1.3854,0.8154,-0.926687,0,1698374128.5059,12
-0.3643,0.3454,-0.0407,0.0217,-1.0227,0.6056,-1.3405,1.4753,9.1481,1.1171,1.3947,-0.2854,-1.0514,8.9282,-3.22,1.5996,1.1757,2.3478,-1.0202,9.6828,-1.31,0.8427,-0.837009,0,1698374128.5159,13
-0.3599,0.3766,-0.0399,0.0428,-0.8426,0.7612,-1.4386,1.298,9.3099,1.058,1.4946,-0.3848,-1.1282,8.9634,-3.1422,1.6425,1.0649,2.0945,-1.1772,9.6741,-1.2202,0.887,-0.632292,0,1698374128.5268,13
-0.3564,0.3461,-0.038,0.0983,-0.6781,0.9273,-1.5276,1.0565,9.499,0.9546,1.5543,-0.5182,-1.2015,9.0054,-3.0948,1.6342,1.0121,1.798,-1.3383,9.6443,-1.1505,0.9461,-0.329199,0,1698374128.5361,14
-0.3539,0.29,-0.0353,0.1629,-0.5801,1.1363,-1.6249,1.0871,9.5165,0.8045,1.5844,-0.6943,-1.2677,9.0368,-3.0693,1.6179,1.0538,1.4279,-1.4738,9.614,-1.1228,0.9877,-0.225401,0,1698374128.5462,15
-0.352,0.2559,-0.0321,0.2026,-0.5168,1.2876,-1.7286,1.3044,9.7198,0.7187,1.5703,-0.9069,-1.344,9.0673,-3.0339,1.5859,1.1407,0.9743,-1.5755,9.588,-1.1157,1.0045,-0.364423,0,1698374128.5561,16
-0.3506,0.223,-0.0287,0.2372,-0.2401,1.3839,-1.8065,1.4357,9.8016,0.8035,1.5373,-1.1283,-1.4313,9.1136,-2.9987,1.5328,1.2278,0.4439,-1.6571,9.5935,-1.0824,1.0368,-0.506327,0,1698374128.5663,16
-0.3499,0.1744,-0.0253,0.2653,0.1376,1.468,-1.8577,1.4434,9.6374,1.017,1.5491,-1.3871,-1.5323,9.2031,-2.9674,1.4723,1.252,-0.1258,-1.7128,9.667,-1.0482,1.0729,-0.616549,0,1698374128.5761,17
-0.3499,0.1199,-0.0222,0.2515,0.4796,1.5137,-1.8702,1.3333,9.5309,1.2857,1.6511,-1.7118,-1.6492,9.3566,-2.9224,1.3838,1.148,-0.6484,-1.7203,9.8329,-1.0404,1.1199,-0.702162,0,1698374128.5859,18
-0.3499,0.0861,-0.0203,0.2332,0.7758,1.5756,-1.8296,1.1583,9.5731,1.5008,1.8088,-2.05,-1.7646,9.565,-2.9017,1.3344,0.9523,-1.0764,-1.6835,10.1058,-1.014,1.1852,-0.76866,0,1698374128.5965,18
-0.3499,0.0731,-0.0198,0.2002,1,1.6314,-1.7256,0.9053,9.8229,1.6687,2.0011,-2.3664,-1.8697,9.8632,-2.907,1.3652,0.7789,-1.4038,-1.6251,10.458,-0.9219,1.2525,-0.820309,0,1698374128.6057,19
-0.3499,0.0568,-0.0199,0.1491,1.1153,1.6424,-1.5247,0.6291,10.1192,1.8106,2.2008,-2.6335,-1.9427,10.2675,-2.8603,1.4546,0.6988,-1.607,-1.5687,10.8135,-0.7579,1.3511,-0.860425,0,1698374128.6166,20
-0.3499,0.0467,-0.02,0.1136,1.187,1.5912,-1.24,0.3585,10.4358,1.9278,2.3516,-2.7923,-1.9705,10.7232,-2.727,1.604,0.6281,-1.6898,-1.5325,11.1376,-0.5412,1.4784,-0.891582,0,1698374128.626,21
-0.3499,0.0557,-0.0203,0.0825,1.2887,1.4773,-0.9166,0.0409,10.7482,2.0105,2.3742,-2.7708,-1.9656,11.1424,-2.5567,1.7994,0.464,-1.6578,-1.5214,11.4132,-0.3077,1.5901,-0.915781,0,1698374128.6362,21
-0.3499,0.0605,-0.0214,0.022,1.4605,1.4162,-0.5964,-0.0917,10.7249,2.0721,2.1719,-2.5292,-1.9099,11.4302,-2.3656,1.9784,0.2505,-1.5145,-1.5308,11.6024,-0.095,1.706,-0.934576,0,1698374128.6463,22
-0.3499,0.0534,-0.0238,-0.0543,1.7517,1.1829,-0.3212,-0.1108,10.3981,2.2423,1.7931,-2.1139,-1.7822,11.5248,-2.1789,2.0849,0.1307,-1.3214,-1.5755,11.6467,0.0816,1.8434,-0.94917,0,1698374128.6562,23
-0.3492,0.0866,-0.0277,-0.1623,1.9523,0.9488,-0.1373,-0.1842,10.2266,2.2703,1.2817,-1.5716,-1.585,11.4579,-2.054,2.131,0.2337,-1.1756,-1.6767,11.5387,0.2472,1.9591,-0.960508,0,1698374128.6665,23
-0.3472,0.1483,-0.0337,-0.2971,1.8234,0.9076,-0.1036,-0.1422,10.2056,2.0847,0.6057,-0.9756,-1.3518,11.326,-1.9703,2.0863,0.5412,-1.111,-1.8235,11.3161,0.3565,2.0127,-0.969307,0,1698374128.6757,24
-0.343,0.2487,-0.0414,-0.4077,1.6969,0.8424,-0.1779,0.0127,10.1466,2.0436,-0.0233,-0.4249,-1.1434,11.1583,-1.9502,1.9257,0.7357,-0.8955,-1.9315,11.0838,0.345,2.0038,-0.976092,0,1698374128.6864,25
-0.3365,0.3598,-0.0503,-0.4942,1.776,0.8122,-0.2944,0.1793,10.1015,2.1513,-0.3593,-0.0287,-0.9849,10.9674,-1.9907,1.7227,0.9567,-0.8841,-1.9771,10.8294,0.2344,1.9047,-0.980135,0,1698374128.6964,26
-0.3275,0.4679,-0.0605,-0.6176,1.7939,0.845,-0.4744,0.3563,10.0967,2.3653,-0.4464,0.1274,-0.8584,10.7689,-2.0497,1.5754,1.4888,-1.0942,-2.0526,10.5219,0.1323,1.7691,-0.969935,0,1698374128.7064,26
