right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_chest_ang_x,right_chest_ang_y,right_chest_ang_z,right_chest_acc_x,right_chest_acc_y,right_chest_acc_z,left_chest_ang_x,left_chest_ang_y,left_chest_ang_z,left_chest_acc_x,left_chest_acc_y,left_chest_acc_z,,,,Label
-0.3897,-0.3117,-0.0221,0.2432,-1.1628,-0.184,0.3578,-0.3179,10.1108,1.2793,0.1658,1.1172,0.1145,-9.0278,1.9805,2.6577,-0.3261,1.4923,0.3534,-8.4374,-3.5167,2.8922,-0.014071,0,1698649701,0
-0.3896,-0.2501,-0.0206,0.2275,-1.0529,-0.2185,0.2342,-0.2223,10.3848,1.185,0.2912,1.0148,0.1737,-9.0843,2.0048,2.7026,-0.1561,1.3882,0.3422,-8.4924,-3.5412,2.9296,0.042317,0,1698649701,1
-0.3896,-0.2041,-0.0193,0.2296,-1.0587,-0.2138,0.0606,-0.0318,10.4258,1.1669,0.3784,0.9447,0.2392,-9.1026,2.0514,2.7553,0.0305,1.2536,0.3387,-8.5167,-3.5709,2.9231,0.084474,0,1698649701,1
-0.3895,-0.1532,-0.0176,0.2218,-1.1229,-0.1991,-0.1425,0.2527,10.3556,1.1771,0.3941,0.8766,0.2893,-9.0807,2.0946,2.8262,0.2317,1.1807,0.3469,-8.5072,-3.5756,2.8866,0.114938,0,1698649701,2
-0.3895,-0.1057,-0.0156,0.216,-1.1864,-0.203,-0.347,0.4801,10.1789,1.2208,0.3254,0.7914,0.3188,-9.0428,2.1196,2.8875,0.3555,1.1887,0.3696,-8.479,-3.5615,2.8528,0.13651,0,1698649701,3
-0.3892,-0.0674,-0.013,0.2368,-1.3516,-0.1702,-0.5161,0.5932,10.1533,1.1912,0.203,0.6757,0.3281,-8.9904,2.1254,2.9313,0.3938,1.1226,0.4076,-8.4063,-3.5188,2.8506,0.15165,0,1698649701,4
-0.3885,-0.024,-0.0097,0.2611,-1.4842,-0.0979,-0.633,0.6192,10.2698,1.1235,0.0559,0.5339,0.3225,-8.9187,2.1125,2.9562,0.3869,1.072,0.4576,-8.3151,-3.4579,2.8626,0.162176,0,1698649701,4
-0.3869,0.0371,-0.0061,0.2833,-1.5224,-0.0059,-0.7084,0.5946,10.1189,1.1757,-0.1001,0.3973,0.3097,-8.8304,2.075,2.9692,0.3526,1.0933,0.5143,-8.2461,-3.3982,2.824,0.169877,0,1698649701,5
-0.3844,0.0842,-0.0025,0.3178,-1.5188,0.0885,-0.7577,0.5596,9.9183,1.2601,-0.2315,0.2844,0.2954,-8.7485,2.0314,2.9795,0.2926,1.0663,0.5678,-8.1882,-3.3519,2.7561,0.175959,0,1698649701,6
-0.3813,0.1354,0.0006,0.3412,-1.4001,0.1389,-0.7993,0.5357,9.774,1.32,-0.3071,0.1857,0.2886,-8.683,2.0013,2.9728,0.2001,1.0002,0.6127,-8.1382,-3.3197,2.7124,0.180739,0,1698649701,7
-0.3778,0.2257,0.0038,0.3297,-1.2986,0.2385,-0.8137,0.41,9.6264,1.3613,-0.3352,0.0902,0.2885,-8.6243,1.987,2.9471,0.1154,0.9532,0.6467,-8.0956,-3.2738,2.6743,0.184554,0,1698649701,7
-0.3739,0.2817,0.0072,0.3543,-1.2487,0.4215,-0.8096,0.37,9.438,1.4291,-0.3459,0.0092,0.2926,-8.5713,1.9933,2.9263,0.0871,0.9012,0.6629,-8.0575,-3.2178,2.639,0.187525,0,1698649701,8
-0.3701,0.2951,0.0112,0.4116,-1.1639,0.5356,-0.8141,0.4127,9.2873,1.5243,-0.3593,-0.0486,0.3077,-8.5312,2.0051,2.9069,0.1052,0.8345,0.6619,-8.0383,-3.1452,2.6239,0.18912,0,1698649701,9
-0.3675,0.2726,0.0159,0.443,-1.0887,0.642,-0.798,0.4171,9.1749,1.5466,-0.3698,-0.0951,0.3323,-8.5096,2.0188,2.8854,0.1355,0.7682,0.6534,-8.0543,-3.0872,2.614,0.189229,0,1698649701,9
-0.3663,0.2002,0.0201,0.4475,-1.0201,0.7597,-0.7616,0.3956,9.1605,1.5215,-0.377,-0.1509,0.365,-8.5047,2.0431,2.8677,0.159,0.7209,0.6536,-8.0826,-3.0783,2.6024,0.189944,0,1698649701,10
-0.366,0.1328,0.0234,0.4346,-0.9795,0.8408,-0.735,0.295,9.2728,1.4985,-0.3989,-0.2147,0.4006,-8.5085,2.0791,2.8491,0.1644,0.6919,0.6649,-8.1219,-3.09,2.5882,0.19238,0,1698649701,11
-0.3658,0.0961,0.0266,0.4272,-0.9881,0.9269,-0.7186,0.2906,9.2697,1.4349,-0.4252,-0.2762,0.4393,-8.5375,2.1081,2.8488,0.1542,0.6608,0.6762,-8.1821,-3.1074,2.5837,0.196454,0,1698649701,12
-0.3655,0.0881,0.0308,0.4278,-0.9053,0.9758,-0.6744,0.3609,9.1272,1.355,-0.4363,-0.3375,0.4899,-8.6177,2.1271,2.8671,0.1454,0.6035,0.6773,-8.2655,-3.1201,2.6063,0.210368,0,1698649701,12
-0.3652,0.081,0.0357,0.4097,-0.7191,1.0181,-0.5974,0.3835,8.9716,1.2938,-0.4312,-0.4048,0.5496,-8.7321,2.1572,2.9002,0.1505,0.4899,0.6688,-8.3829,-3.1207,2.6314,0.263784,0,1698649701,13
-0.3649,0.064,0.0406,0.4111,-0.5821,1.1276,-0.5078,0.4032,9.0034,1.2185,-0.4299,-0.521,0.5968,-8.848,2.208,2.9329,0.1774,0.3369,0.6681,-8.5134,-3.1205,2.6303,0.361147,0,1698649701,14
-0.3644,0.0669,0.0448,0.4073,-0.4519,1.2553,-0.4135,0.4588,9.2318,1.1431,-0.4953,-0.7169,0.6131,-8.9583,2.2772,2.9668,0.2342,0.184,0.6761,-8.6354,-3.1378,2.6203,0.469429,0,1698649701,14
-0.3633,0.0927,0.0491,0.3834,-0.32,1.3647,-0.3138,0.5296,9.4637,1.1335,-0.6833,-0.9935,0.6069,-9.1041,2.3798,3.0009,0.2961,0.0388,0.6755,-8.802,-3.159,2.6174,0.569113,0,1698649701,15
-0.3609,0.1524,0.0536,0.3819,-0.1682,1.4574,-0.1878,0.5845,9.589,1.2786,-0.9793,-1.3429,0.6056,-9.3331,2.5363,3.0451,0.3417,-0.057,0.6308,-9.0639,-3.2171,2.6371,0.656263,0,1698649701,16
-0.3563,0.2742,0.0573,0.3573,0.0196,1.485,-0.0601,0.5241,9.8082,1.5475,-1.2825,-1.7184,0.6335,-9.6273,2.7192,3.1454,0.3106,-0.1612,0.556,-9.4115,-3.2885,2.7194,0.730203,0,1698649701,17
-0.3488,0.4144,0.0593,0.303,0.1927,1.4715,0.0859,0.2432,10.1886,1.8054,-1.5121,-2.0526,0.691,-9.9247,2.8782,3.3051,0.18,-0.4219,0.5021,-9.7921,-3.3124,2.8384,0.789872,0,1698649701,17
-0.3389,0.5306,0.0601,0.2448,0.2914,1.4457,0.3136,-0.1417,10.6091,1.9828,-1.6537,-2.2942,0.7654,-10.238,2.9816,3.481,0.0248,-0.7147,0.4739,-10.1594,-3.3496,2.9333,0.836489,0,1698649701,18
-0.3275,0.6633,0.0604,0.1933,0.4218,1.3243,0.602,-0.5874,10.9908,2.2363,-1.6811,-2.4343,0.8454,-10.6081,3.012,3.616,-0.0949,-0.7735,0.4656,-10.5566,-3.4555,3.0452,0.872735,0,1698649701,19
-0.3158,0.8006,0.0603,0.1553,0.529,1.1396,0.9428,-1.0125,11.3129,2.4787,-1.549,-2.4816,0.9153,-11.016,2.9623,3.6802,-0.1035,-0.6862,0.4166,-10.9213,-3.6118,3.0907,0.900826,0,1698649701,20
-0.3051,0.8807,0.0601,0.1234,0.5765,0.9391,1.2927,-1.3017,11.7467,2.5488,-1.2435,-2.4264,0.961,-11.4169,2.8911,3.698,0.0083,-0.7734,0.3282,-11.1559,-3.8278,3.0442,0.922487,0,1698649701,20
-0.296,0.8817,0.0598,0.0885,0.6398,0.6623,1.5534,-1.517,12.173,2.6682,-0.8691,-2.2156,0.9624,-11.7228,2.8757,3.6894,0.24,-0.8557,0.2826,-11.2368,-3.9574,3.0506,0.939311,0,1698649701,21
-0.2882,0.8038,0.0585,0.0214,0.5134,0.4482,1.6827,-1.6089,12.4701,2.7516,-0.5382,-1.7699,0.9081,-11.8442,2.885,3.6071,0.4984,-0.9188,0.3034,-11.1949,-3.9712,3.0551,0.952354,0,1698649701,22
-0.2824,0.7175,0.0551,-0.1113,0.3164,0.2086,1.5998,-1.4052,12.792,2.7832,-0.2769,-1.1211,0.8327,-11.7718,2.8568,3.4678,0.6036,-1.0368,0.3801,-11.0755,-3.9522,2.989,0.961248,0,1698649701,22
