right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_chest_ang_x,right_chest_ang_y,right_chest_ang_z,right_chest_acc_x,right_chest_acc_y,right_chest_acc_z,left_chest_ang_x,left_chest_ang_y,left_chest_ang_z,left_chest_acc_x,left_chest_acc_y,left_chest_acc_z,,,,Label
-0.4397,-0.3299,0.0163,0.0736,-0.6909,-0.2895,1.2361,0.4085,10.1569,1.1923,1.0462,0.5238,0.1639,-8.8773,3.027,0.3207,0.4346,0.585,-0.0276,-9.0629,0.8852,2.1555,-0.107658,0,1698375084.2902,0
-0.4396,-0.2279,0.0166,0.0606,-0.8091,-0.2707,1.2325,0.4108,9.9401,1.3131,1.0253,0.6187,0.1975,-8.7071,2.9494,0.3403,0.5234,0.525,0.0675,-8.9138,0.8,2.1035,-0.288324,0,1698375084.3006,1
-0.4396,-0.1673,0.0175,0.0749,-1.0611,-0.2109,1.1641,0.6158,9.8663,1.2989,0.9972,0.6677,0.2168,-8.5514,2.8707,0.3407,0.6,0.4579,0.1645,-8.779,0.7111,2.0513,-0.410551,0,1698375084.3112,1
-0.4396,-0.1338,0.0191,0.0963,-1.1878,-0.2249,1.0615,0.7116,9.7047,1.3315,0.9438,0.647,0.2225,-8.454,2.7708,0.3328,0.6383,0.3802,0.2509,-8.6688,0.6556,2.0041,-0.449026,0,1698375084.3217,2
-0.4394,-0.0971,0.021,0.113,-1.2666,-0.258,0.9162,0.7751,9.501,1.3926,0.8623,0.5866,0.2277,-8.4117,2.6598,0.328,0.6347,0.3037,0.3248,-8.6034,0.6222,1.9546,-0.372559,0,1698375084.3319,3
-0.439,-0.0494,0.0224,0.1179,-1.3372,-0.2743,0.7608,0.8049,9.4608,1.4515,0.747,0.5047,0.2531,-8.3971,2.5762,0.3002,0.6132,0.2724,0.3881,-8.5973,0.5655,1.9103,-0.215404,0,1698375084.342,4
-0.4381,-0.0109,0.0234,0.107,-1.4943,-0.2196,0.6008,0.9435,9.5427,1.5348,0.6259,0.4139,0.3077,-8.4236,2.5204,0.2447,0.5905,0.2813,0.4357,-8.6315,0.5164,1.8861,-0.067937,0,1698375084.3527,4
-0.4368,0.0301,0.0247,0.1182,-1.6725,-0.265,0.4383,1.0199,9.579,1.6625,0.5318,0.3305,0.3612,-8.4945,2.4691,0.1748,0.5533,0.3061,0.4692,-8.6707,0.4838,1.8739,0.032148,0,1698375084.3631,5
-0.4335,0.0985,0.0261,0.1328,-1.7701,-0.3777,0.2549,0.9456,9.4097,1.6959,0.4707,0.2572,0.4045,-8.606,2.4174,0.0944,0.5304,0.385,0.485,-8.7276,0.4433,1.8497,0.09571,0,1698375084.3748,6
-0.4274,0.2031,0.0273,0.1412,-1.4938,-0.4309,-0.0564,0.6956,8.9412,1.7275,0.4452,0.1132,0.4608,-8.8878,2.3672,-0.0366,0.6473,0.5482,0.4729,-8.921,0.3731,1.7741,0.137161,0,1698375084.3862,7
-0.4204,0.3239,0.0287,0.1554,-1.287,-0.4146,-0.1413,0.6373,8.8665,1.7272,0.4793,0.1157,0.4853,-9.0063,2.3637,-0.0918,0.7406,0.6123,0.4631,-9.0396,0.3519,1.7356,0.172557,0,1698375084.3963,7
-0.4147,0.3911,0.031,0.1794,-1.1323,-0.4147,-0.2046,0.6706,8.8985,1.6786,0.5509,0.2003,0.5145,-9.1099,2.3554,-0.1496,0.8113,0.6714,0.4539,-9.1333,0.3355,1.7164,0.192599,0,1698375084.4064,8
-0.4099,0.41,0.0342,0.2215,-0.9023,-0.4318,-0.2376,0.6513,8.9621,1.6258,0.6466,0.2848,0.5389,-9.2013,2.362,-0.1967,0.8228,0.6952,0.4543,-9.1973,0.3367,1.7325,0.116222,0,1698375084.4168,9
