right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_chest_ang_x,right_chest_ang_y,right_chest_ang_z,right_chest_acc_x,right_chest_acc_y,right_chest_acc_z,left_chest_ang_x,left_chest_ang_y,left_chest_ang_z,left_chest_acc_x,left_chest_acc_y,left_chest_acc_z,,,,Label
-0.557,-0.7904,0.0398,1.2453,-0.6708,3.0092,1.0056,1.4567,7.9772,1.5657,0.6761,0.7938,0.0876,-6.5813,2.6068,0.2164,1.166,0.5586,0.0573,-6.9035,0.8578,0.7272,0.998559,0,1698375258.1304,0
-0.5546,-0.5431,0.0508,1.2216,-0.7526,3.2408,0.5362,1.2883,7.8298,1.2968,0.5231,0.5915,0.1238,-6.8607,2.6401,0.2397,1.267,0.6153,-0.0199,-7.0855,0.7744,0.8289,0.99888,0,1698375258.1403,1
-0.5493,-0.2753,0.0622,1.2235,-0.932,3.4753,0.0838,1.1124,7.8525,0.8023,0.417,0.379,0.14,-7.1063,2.6954,0.2635,1.2859,0.6865,-0.0781,-7.3047,0.6893,0.9256,0.99913,0,1698375258.1504,2
-0.5393,0.099,0.0739,1.261,-1.1173,3.6285,-0.3911,0.8477,7.6929,0.5042,0.3014,0.1765,0.1398,-7.3283,2.7688,0.2648,1.2954,0.6958,-0.0509,-7.6083,0.6206,1.0586,0.999325,0,1698375258.1604,3
-0.524,0.4766,0.0859,1.2719,-1.2502,3.704,-0.8708,0.5713,7.5526,0.4881,0.1443,-0.0721,0.1021,-7.5745,2.8461,0.2773,1.2286,0.8377,0.0469,-7.9326,0.6254,1.2234,0.999474,0,1698375258.1702,4
-0.5043,0.809,0.0985,1.2862,-0.9435,3.7388,-1.2937,0.3195,7.4479,0.564,-0.0919,-0.3716,0.0524,-7.8893,2.9404,0.3565,0.8751,1.0579,0.1962,-8.2195,0.7123,1.3779,0.999583,0,1698375258.1804,5
-0.4816,1.2157,0.1118,1.3072,-0.3517,3.7803,-1.6306,0.2468,7.1124,0.6816,-0.3598,-0.6895,0.0564,-8.2331,3.0639,0.4894,0.4088,1.2493,0.3479,-8.4977,0.8659,1.5415,0.99966,0,1698375258.1906,6
-0.4576,1.5313,0.1259,1.3431,0.1728,3.8023,-1.854,0.2307,7.1945,0.93,-0.5584,-1.0191,0.1124,-8.5858,3.1764,0.6653,-0.1077,1.4108,0.4598,-8.8113,1.0052,1.7511,0.999429,0,1698375258.201,7
-0.4335,1.7284,0.1401,1.3779,0.8469,3.8288,-1.9415,0.0827,7.4496,1.0244,-0.6693,-1.3049,0.1763,-8.9591,3.3118,0.8172,-0.7074,1.411,0.5203,-9.2029,1.11,1.9682,0.991879,0,1698375258.2108,8
-0.4118,1.7648,0.1537,1.3564,1.4617,3.817,-1.9702,-0.1656,8.0348,0.8734,-0.7341,-1.5132,0.2676,-9.321,3.4692,0.9127,-1.2882,1.2713,0.4812,-9.64,1.2105,2.1363,0.885883,0,1698375258.2203,9
-0.3963,1.5746,0.1663,1.3219,2.1326,3.5683,-1.8553,-0.68,8.8685,1.0857,-0.7614,-1.7049,0.3872,-9.6734,3.6077,0.9302,-1.6985,1.0436,0.3077,-10.0826,1.2553,2.2494,0.589638,0,1698375258.2303,10
-0.3902,1.259,0.1769,1.2397,2.7339,3.2763,-1.6144,-1.0304,9.5212,1.3294,-0.723,-1.9066,0.5278,-10.0869,3.7367,0.8775,-1.9447,0.8547,0.063,-10.5192,1.2304,2.3272,0.238351,0,1698375258.2403,11
-0.3923,0.8737,0.1859,1.1285,2.8848,2.9516,-1.2738,-1.2037,10.3254,1.0599,-0.6352,-2.0761,0.6864,-10.5161,3.8417,0.8177,-2.0175,0.5061,-0.174,-10.9264,1.1627,2.3456,-0.035726,0,1698375258.2509,12
-0.3998,0.4826,0.1933,1.037,3.0633,2.4734,-0.7511,-1.447,10.5753,0.6722,-0.5056,-2.2026,0.8207,-10.8928,3.9299,0.7711,-1.861,0.1679,-0.3401,-11.2465,1.0089,2.3335,-0.217024,0,1698375258.2605,13
-0.4105,0.12,0.1994,0.9436,2.9872,1.9657,-0.2062,-1.2709,10.5882,0.3481,-0.3547,-2.3349,0.8918,-11.2735,3.9872,0.8302,-1.5179,-0.0086,-0.4197,-11.5528,0.8241,2.3863,-0.167976,0,1698375258.2705,14
-0.4221,-0.1456,0.2051,0.8604,2.7398,1.4725,0.3593,-1.073,11.1462,-0.1143,-0.2835,-2.615,0.8481,-11.7043,4.09,1.0016,-1.1909,-0.3724,-0.3887,-11.9749,0.7389,2.5009,0.05566,0,1698375258.2802,15
-0.4308,-0.217,0.2099,0.7604,2.6823,1.04,1.0057,-1.2022,12.4754,-0.6517,-0.4208,-2.9527,0.9412,-12.1746,4.4042,1.1663,-1.0613,-1.07,-0.2828,-12.5241,0.8379,2.5618,0.261896,0,1698375258.2914,16
-0.4313,-0.0746,0.2122,0.6188,2.2592,0.6802,1.443,-1.3369,13.3298,-0.2734,-0.8164,-3.5192,1.0425,-12.5498,4.911,1.301,-1.1285,-2.0738,-0.2269,-13.0444,1.1564,2.5818,0.426325,0,1698375258.3007,17
-0.4238,0.1907,0.2118,0.4532,1.3895,0.7987,1.6292,-0.9002,13.742,0.3705,-1.317,-4.2166,1.0095,-12.6918,5.4626,1.2572,-1.3017,-3.1184,-0.2577,-13.3655,1.5992,2.498,0.532479,0,1698375258.3109,17
-0.4117,0.4802,0.2076,0.2126,0.9449,0.9419,1.8268,-0.3322,13.2376,1.2746,-1.9999,-4.6074,1.0341,-12.5469,5.9274,0.9679,-1.3536,-3.854,-0.2935,-13.4024,2.0198,2.2153,0.562167,0,1698375258.3208,18
-0.3985,0.6663,0.1972,-0.1579,1.0299,0.7881,2.0637,-0.3396,11.907,2.7048,-2.5618,-4.5693,1.0414,-12.1526,6.1679,0.6072,-1.2576,-4.1305,-0.2463,-13.1191,2.3596,1.7829,0.547191,0,1698375258.3307,19
-0.3891,0.6245,0.1798,-0.6201,0.8812,0.8706,2.2895,-0.3327,11.591,3.828,-2.6685,-4.1314,1.018,-11.6486,6.1048,0.276,-1.2486,-3.8765,-0.1236,-12.6326,2.6123,1.2258,0.525561,0,1698375258.3409,20
-0.3877,0.411,0.1575,-1.091,0.8764,0.7872,2.8023,-0.9125,12.2442,4.3989,-2.5264,-3.373,0.9232,-11.1799,5.8623,0.0396,-1.4325,-3.214,0.0535,-12.0139,2.773,0.5723,0.492764,0,1698375258.3504,21
