right q,right q dot,left q,left q dot,right_shoulder_ang_x,right_shoulder_ang_y,right_shoulder_ang_z,right_shoulder_acc_x,right_shoulder_acc_y,right_shoulder_acc_z,left_shoulder_ang_x,left_shoulder_ang_y,left_shoulder_ang_z,left_shoulder_acc_x,left_shoulder_acc_y,left_shoulder_acc_z,Label
-0.2317,0.037,0.3321,0.2047,-0.4166,0.0346,0.909,-0.0175,0.002,0.005,-0.4071,-0.0812,0.8999,0.0021,-0.0028,-0.0052,0
-0.2317,0.037,0.3321,0.2047,-0.5445,-0.082,1.0085,-0.0024,-0.0377,0.0674,-0.43,-0.1756,1.0219,0.1179,-0.1751,0.1713,0
-0.2307,0.0293,0.339,0.1464,-0.5445,-0.082,1.0085,-0.0024,-0.0377,0.0674,-0.43,-0.1756,1.0219,0.1179,-0.1751,0.1713,1
-0.2307,0.0293,0.339,0.1464,-0.5574,-0.0788,1.0228,0.0064,-0.052,0.0646,-0.441,-0.1709,1.0354,0.116,-0.1689,0.1906,1
-0.2302,0.0241,0.3424,0.1043,-0.5574,-0.0788,1.0228,0.0064,-0.052,0.0646,-0.441,-0.1709,1.0354,0.116,-0.1689,0.1906,1
-0.2302,0.0241,0.3424,0.1043,-0.5758,-0.0702,1.0381,0.0303,-0.0681,0.0571,-0.4595,-0.162,1.0506,0.1055,-0.145,0.2184,2
-0.2295,0.0215,0.3454,0.0393,-0.5758,-0.0702,1.0381,0.0303,-0.0681,0.0571,-0.4595,-0.162,1.0506,0.1055,-0.145,0.2184,2
-0.2295,0.0215,0.3454,0.0393,-0.5874,-0.0617,1.0431,0.0513,-0.0756,0.0504,-0.4732,-0.1553,1.0567,0.0931,-0.1226,0.2352,2
-0.229,0.027,0.346,-0.0052,-0.5874,-0.0617,1.0431,0.0513,-0.0756,0.0504,-0.4732,-0.1553,1.0567,0.0931,-0.1226,0.2352,3
-0.229,0.027,0.346,-0.0052,-0.5984,-0.0508,1.0431,0.074,-0.0813,0.0434,-0.4874,-0.1487,1.0594,0.0766,-0.0981,0.2497,3
-0.2286,0.0329,0.3459,-0.0282,-0.5984,-0.0508,1.0431,0.074,-0.0813,0.0434,-0.4874,-0.1487,1.0594,0.0766,-0.0981,0.2497,3
-0.2286,0.0329,0.3459,-0.0282,-0.6085,-0.0378,1.0377,0.0958,-0.0861,0.0374,-0.5016,-0.1421,1.0585,0.0561,-0.0744,0.2616,4
-0.2276,0.0524,0.3448,-0.0771,-0.6085,-0.0378,1.0377,0.0958,-0.0861,0.0374,-0.5016,-0.1421,1.0585,0.0561,-0.0744,0.2616,4
-0.2276,0.0524,0.3448,-0.0771,-0.613,-0.0305,1.0329,0.1057,-0.0884,0.0354,-0.5084,-0.1389,1.0566,0.0444,-0.0636,0.2665,4
-0.2269,0.0664,0.3437,-0.1035,-0.613,-0.0305,1.0329,0.1057,-0.0884,0.0354,-0.5084,-0.1389,1.0566,0.0444,-0.0636,0.2665,5
