q,right_acc_x,right_acc_y,right_acc_z,right_ang_x,right_ang_y,right_ang_z,left_acc_x,left_acc_y,left_acc_z,left_ang_x,left_ang_y,left_ang_z,label
-0.3715,3.1291,2.3801,-2.3817,1.5041,3.587,9.9772,0.5363,2.7249,0.3763,2.0353,-1.8625,9.3042,0
-0.3731,3.1481,2.2919,-2.0605,1.2186,3.7409,9.9883,0.4219,2.4881,0.3876,2.0878,-1.803,9.2295,0
-0.3736,3.1481,2.2919,-2.0605,1.2186,3.7409,9.9883,0.4219,2.4881,0.3876,2.0878,-1.803,9.2295,0
-0.3736,3.1481,2.2919,-2.0605,1.2186,3.7409,9.9883,0.4219,2.4881,0.3876,2.0878,-1.803,9.2295,1
-0.3731,2.8992,1.8998,-1.7402,1.0693,3.8917,10.0451,0.3465,2.2244,0.2788,2.1083,-1.8096,9.2298,2
-0.3719,2.8992,1.8998,-1.7402,1.0693,3.8917,10.0451,0.3465,2.2244,0.2788,2.1083,-1.8096,9.2298,2
-0.3682,2.3778,1.4104,-1.3374,1.0816,3.9766,10.0483,0.34,1.9456,0.1441,2.0477,-1.865,9.2394,3
-0.3619,2.3778,1.4104,-1.3374,1.0816,3.9766,10.0483,0.34,1.9456,0.1441,2.0477,-1.865,9.2394,4
-0.3528,1.6879,0.9841,-0.7954,1.1932,3.943,9.9998,0.3751,1.6013,0.0628,1.869,-1.9474,9.2384,5
-0.3407,0.9719,0.6725,-0.1111,1.3005,3.7959,9.9345,0.406,1.1525,0.0682,1.5713,-2.0709,9.2725,5
-0.3272,0.9719,0.6725,-0.1111,1.3005,3.7959,9.9345,0.406,1.1525,0.0682,1.5713,-2.0709,9.2725,6
-0.3128,0.9719,0.6725,-0.1111,1.3005,3.7959,9.9345,0.406,1.1525,0.0682,1.5713,-2.0709,9.2725,7
-0.2988,0.3549,0.4476,0.6652,1.2892,3.6177,9.8847,0.4464,0.57,0.1724,1.1975,-2.2254,9.4093,8
-0.2875,-0.0578,0.211,1.4275,1.1266,3.5288,9.9124,0.5488,-0.15,0.3994,0.8521,-2.3409,9.6658,9
-0.2763,-0.0578,0.211,1.4275,1.1266,3.5288,9.9124,0.5488,-0.15,0.3994,0.8521,-2.3409,9.6658,9
-0.2711,-0.0578,0.211,1.4275,1.1266,3.5288,9.9124,0.5488,-0.15,0.3994,0.8521,-2.3409,9.6658,10
-0.2705,-0.2027,-0.0711,2.0582,0.9045,3.6009,10.0676,0.7357,-0.9065,0.759,0.7109,-2.3752,9.9934,11
-0.2722,-0.2027,-0.0711,2.0582,0.9045,3.6009,10.0676,0.7357,-0.9065,0.759,0.7109,-2.3752,9.9934,12
-0.2749,-0.0605,-0.2938,2.4655,0.7398,3.8099,10.3311,0.9642,-1.5089,1.2014,0.8756,-2.3391,10.3138,13
-0.2796,-0.0605,-0.2938,2.4655,0.7398,3.8099,10.3311,0.9642,-1.5089,1.2014,0.8756,-2.3391,10.3138,13
